Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,24.0,HOU,NBA,PG,22.0,0.0,478.0,4.7,12.1,0.394,1.3,3.4,0.378,3.5,8.7,0.4,4.8,5.6,0.865,1.4,3.0,4.4,7.0,1.6,0.4,3.5,4.7,15.6
1995,25.0,HOU,NBA,PG,22.0,0.0,485.0,5.5,12.5,0.438,1.8,4.5,0.4,3.7,8.1,0.459,5.3,6.3,0.835,0.6,2.5,3.1,6.6,1.6,0.1,2.4,4.9,18.0
1996,26.0,HOU,NBA,PG,8.0,0.0,206.0,4.5,14.2,0.321,1.4,5.1,0.276,3.1,9.1,0.346,4.0,5.1,0.793,0.2,2.8,3.0,5.9,1.0,0.2,3.1,3.5,14.5
1998,28.0,NJN,NBA,PG,3.0,1.0,26.0,4.2,12.5,0.333,0.0,0.0,,4.2,12.5,0.333,0.0,0.0,,1.4,2.8,4.2,6.9,0.0,1.4,2.8,9.7,8.3
1999,29.0,MIL,NBA,PG,3.0,3.0,102.0,5.6,11.3,0.5,0.0,0.4,0.0,5.6,10.9,0.516,4.9,5.6,0.875,0.0,2.1,2.1,9.2,1.1,0.0,2.5,4.9,16.2
2001,31.0,MIL,NBA,PG,18.0,18.0,682.0,5.8,14.7,0.396,0.5,1.6,0.333,5.3,13.1,0.403,4.4,5.1,0.866,0.6,3.7,4.4,6.3,1.0,0.2,2.7,4.0,16.6
2003,33.0,MIL,NBA,PG,6.0,6.0,217.0,6.5,13.8,0.47,1.8,3.5,0.524,4.6,10.3,0.452,2.3,2.5,0.933,0.5,2.7,3.2,2.7,0.5,0.2,2.8,3.3,17.1
2004,34.0,MIN,NBA,PG,16.0,15.0,497.0,6.8,14.6,0.465,1.8,4.3,0.417,5.0,10.3,0.486,3.8,4.4,0.852,0.2,2.7,2.9,5.1,0.9,0.2,3.1,3.8,19.2
2006,36.0,LAC,NBA,PG,12.0,12.0,404.0,6.5,14.9,0.437,1.3,3.8,0.349,5.2,11.0,0.468,4.9,6.1,0.809,0.8,3.5,4.3,6.1,0.7,0.2,2.5,3.1,19.2
2008,38.0,BOS,NBA,PG,21.0,0.0,264.0,5.0,15.1,0.333,0.8,3.8,0.214,4.2,11.3,0.373,1.9,2.3,0.824,0.3,1.8,2.0,3.4,1.1,0.1,1.6,4.1,12.8
