SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
2014,13,LAC,Blake Griffin,24,80,80,35.8,9.0,17.0,0.53,0.2,0.6,0.27,8.8,16.4,0.54,0.53,6.0,8.4,0.72,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1
2014,13,LAC,DeAndre Jordan,25,82,82,35.0,4.2,6.3,0.68,0.0,0.0,,4.2,6.3,0.68,0.68,2.0,4.6,0.43,4.0,9.5,13.6,0.9,1.0,2.5,1.5,3.2,10.4
2014,13,LAC,Chris Paul,28,62,62,35.0,6.5,14.0,0.47,1.3,3.4,0.37,5.3,10.6,0.5,0.51,4.8,5.6,0.86,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1
2014,13,LAC,Jamal Crawford,33,69,24,30.3,6.1,14.7,0.42,2.3,6.5,0.36,3.8,8.2,0.46,0.5,4.0,4.7,0.87,0.5,1.8,2.3,3.2,0.9,0.2,2.0,1.7,18.6
2014,13,LAC,J.J. Redick,29,35,34,28.2,5.2,11.4,0.46,2.1,5.3,0.4,3.1,6.1,0.51,0.55,2.8,3.0,0.92,0.3,1.9,2.1,2.2,0.8,0.1,1.2,1.9,15.2
2014,13,LAC,Matt Barnes,33,63,40,27.5,3.7,8.4,0.44,1.5,4.5,0.34,2.1,3.9,0.55,0.53,1.0,1.4,0.73,1.0,3.7,4.6,2.0,0.9,0.4,1.3,2.9,9.9
2014,13,LAC,Darren Collison,26,80,35,25.9,4.1,8.7,0.47,0.9,2.4,0.38,3.2,6.3,0.5,0.52,2.4,2.8,0.86,0.6,1.8,2.4,3.7,1.2,0.2,1.7,1.9,11.4
2014,13,LAC,Jared Dudley,28,74,43,23.4,2.6,6.0,0.44,1.1,3.0,0.36,1.6,3.0,0.52,0.53,0.5,0.8,0.66,0.5,1.7,2.2,1.4,0.6,0.1,0.8,2.0,6.9
2014,13,LAC,Danny Granger,30,12,0,16.2,3.0,7.0,0.43,1.0,2.8,0.35,2.0,4.2,0.48,0.5,1.0,1.2,0.86,0.6,1.8,2.3,0.7,0.3,0.3,0.8,1.8,8.0
2014,13,LAC,Willie Green,32,55,9,15.8,1.9,4.9,0.38,0.7,2.2,0.34,1.1,2.7,0.41,0.45,0.5,0.6,0.82,0.2,1.2,1.4,0.9,0.4,0.2,0.6,1.7,5.0
2014,13,LAC,Glen Davis,28,23,1,13.4,1.7,3.5,0.48,0.0,0.0,0.0,1.7,3.5,0.49,0.48,0.8,1.0,0.78,0.9,2.1,3.0,0.3,0.5,0.3,0.7,2.1,4.2
2014,13,LAC,Stephen Jackson,35,9,0,11.9,0.7,2.9,0.23,0.1,1.6,0.07,0.6,1.3,0.42,0.25,0.2,0.4,0.5,0.2,0.9,1.1,0.6,0.7,0.1,0.7,1.2,1.7
2014,13,LAC,Antawn Jamison,37,22,0,11.3,1.3,4.2,0.32,0.4,1.9,0.2,1.0,2.3,0.41,0.36,0.8,1.1,0.72,0.4,2.1,2.5,0.3,0.4,0.1,0.3,1.3,3.8
2014,13,LAC,Hedo Turkoglu,34,38,0,10.3,1.1,2.9,0.38,0.6,1.3,0.44,0.5,1.6,0.34,0.49,0.2,0.5,0.5,0.3,2.1,2.3,0.9,0.5,0.3,0.4,1.3,3.0
2014,13,LAC,Reggie Bullock,22,43,0,9.2,1.0,2.8,0.36,0.5,1.7,0.3,0.5,1.1,0.44,0.45,0.2,0.2,0.78,0.3,1.0,1.3,0.3,0.2,0.0,0.3,0.6,2.7
2014,13,LAC,Ryan Hollins,29,61,0,7.9,0.9,1.2,0.74,0.0,0.0,,0.9,1.2,0.74,0.74,0.6,0.9,0.62,0.5,1.0,1.5,0.1,0.1,0.5,0.5,1.4,2.3
2014,13,LAC,Byron Mullens,24,27,0,6.2,1.0,2.4,0.41,0.5,1.4,0.33,0.5,0.9,0.52,0.51,0.1,0.2,0.33,0.3,0.9,1.2,0.2,0.2,0.1,0.5,1.2,2.5
2014,13,LAC,Darius Morris,23,10,0,5.4,0.4,1.3,0.31,0.0,0.7,0.0,0.4,0.6,0.67,0.31,0.1,0.2,0.5,0.0,0.5,0.5,0.5,0.2,0.0,0.2,0.9,0.9
2014,13,LAC,Sasha Vujacic,29,2,0,5.0,1.0,2.5,0.4,0.5,1.0,0.5,0.5,1.5,0.33,0.5,0.0,0.0,,0.0,1.5,1.5,0.0,0.5,0.0,1.5,0.5,2.5
2014,13,LAC,Maalik Wayns,22,2,0,4.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
