Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2010,21.0,OKC,NBA,PG,6.0,6.0,212.0,43.0,91.0,0.473,5.0,12.0,0.417,38.0,79.0,0.481,0.5,32.0,38.0,0.842,10.0,26.0,36.0,36.0,10.0,1.0,14.0,13.0,123.0,,0.0
2011,22.0,OKC,NBA,PG,17.0,17.0,638.0,135.0,343.0,0.394,14.0,48.0,0.292,121.0,295.0,0.41,0.414,121.0,142.0,0.852,36.0,55.0,91.0,108.0,24.0,6.0,78.0,56.0,405.0,,1.0
2012,23.0,OKC,NBA,PG,20.0,20.0,767.0,177.0,407.0,0.435,18.0,65.0,0.277,159.0,342.0,0.465,0.457,89.0,111.0,0.802,22.0,87.0,109.0,117.0,31.0,8.0,45.0,49.0,461.0,,0.0
2013,24.0,OKC,NBA,PG,2.0,2.0,68.0,17.0,41.0,0.415,2.0,9.0,0.222,15.0,32.0,0.469,0.439,12.0,14.0,0.857,1.0,12.0,13.0,14.0,6.0,0.0,8.0,5.0,48.0,,0.0
2014,25.0,OKC,NBA,PG,19.0,19.0,735.0,167.0,398.0,0.42,28.0,100.0,0.28,139.0,298.0,0.466,0.455,145.0,164.0,0.884,45.0,93.0,138.0,153.0,41.0,6.0,83.0,62.0,507.0,,3.0
2016,27.0,OKC,NBA,PG,18.0,18.0,674.0,159.0,393.0,0.405,34.0,105.0,0.324,125.0,288.0,0.434,0.448,116.0,140.0,0.829,41.0,83.0,124.0,198.0,46.0,2.0,78.0,43.0,468.0,,1.0
2017,28.0,OKC,NBA,PG,5.0,5.0,194.0,59.0,152.0,0.388,13.0,49.0,0.265,46.0,103.0,0.447,0.431,56.0,70.0,0.8,9.0,49.0,58.0,54.0,12.0,2.0,30.0,16.0,187.0,,3.0
2018,29.0,OKC,NBA,PG,6.0,6.0,235.0,64.0,161.0,0.398,15.0,42.0,0.357,49.0,119.0,0.412,0.444,33.0,40.0,0.825,11.0,61.0,72.0,45.0,9.0,0.0,31.0,21.0,176.0,,0.0
2019,30.0,OKC,NBA,PG,5.0,5.0,197.0,40.0,111.0,0.36,11.0,34.0,0.324,29.0,77.0,0.377,0.41,23.0,26.0,0.885,7.0,37.0,44.0,53.0,5.0,3.0,23.0,19.0,114.0,,2.0
2020,31.0,HOU,NBA,PG,8.0,8.0,262.0,59.0,140.0,0.421,8.0,33.0,0.242,51.0,107.0,0.477,0.45,17.0,32.0,0.531,11.0,45.0,56.0,37.0,12.0,2.0,30.0,23.0,143.0,,0.0
