NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
6,Alan Anderson,SG,6-6,220,1982-10-16,US,5,Michigan State
44,Bojan Bogdanović,SF,6-8,226,1989-04-18,BA,R,
22,Markel Brown,SG,6-3,190,1992-01-29,US,R,Oklahoma State
55,Earl Clark,PF,6-10,225,1988-01-17,US,5,Louisville
20,Brandon Davies,PF,6-10,240,1991-07-25,US,1,BYU
2,Kevin Garnett,PF,6-11,240,1976-05-19,US,19,
13,Jorge Gutiérrez,PG,6-3,191,1988-12-27,MX,1,California
0,Jarrett Jack,PG,6-3,200,1983-10-28,US,9,Georgia Tech
21,Cory Jefferson,PF,6-9,218,1990-12-26,US,R,Baylor
7,Joe Johnson,SG,6-7,240,1981-06-29,US,13,Arkansas
9,Jerome Jordan,C,7-0,253,1986-09-29,JM,1,Tulsa
10,Sergey Karasev,SG,6-7,208,1993-10-26,RU,1,
47,Andrei Kirilenko,SF,6-9,220,1981-02-18,RU,12,
11,Brook Lopez,C,7-0,282,1988-04-01,US,6,Stanford
14,Darius Morris,PG,6-4,190,1991-01-03,US,3,Michigan
1,Mason Plumlee,C,6-11,254,1990-03-05,US,1,Duke
33,Mirza Teletović,PF,6-9,242,1985-09-18,BA,2,
8,Deron Williams,PG,6-3,200,1984-06-26,US,9,Illinois
30,Thaddeus Young,PF,6-8,235,1988-06-21,US,7,Georgia Tech
