NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
4,Quincy Acy,PF,6-7,240,1990-10-06,US,2,Baylor
45,Cole Aldrich,C,6-11,250,1988-10-31,US,4,Kansas
21,Lou Amundson,PF,6-9,220,1982-12-07,US,8,UNLV
7,Carmelo Anthony,SF,6-8,238,1984-05-29,US,11,Syracuse
77,Andrea Bargnani,C,7-0,245,1985-10-26,IT,8,
3,José Calderón,PG,6-3,200,1981-09-28,ES,9,
11,Samuel Dalembert,C,6-11,255,1981-05-10,HT,12,Seton Hall
17,Cleanthony Early,SF,6-8,210,1991-04-17,US,R,Wichita State
2,Langston Galloway,PG,6-1,200,1991-12-09,US,R,Saint Joseph's
5,Tim Hardaway,SG,6-5,205,1992-03-16,US,1,Michigan
0,Shane Larkin,PG,5-11,175,1992-10-02,US,1,Miami (FL)
11,Ricky Ledo,SG,6-7,195,1992-09-10,US,1,
9,Pablo Prigioni,PG,6-3,185,1977-05-17,AR,2,
21,Iman Shumpert,SG,6-5,215,1990-06-26,US,3,Georgia Tech
1,Alexey Shved,SG,6-6,190,1988-12-16,RU,2,
8,J.R. Smith,SG,6-6,225,1985-09-09,US,10,
14,Jason Smith,C,7-0,240,1986-03-02,US,6,Colorado State
1,Amar'e Stoudemire,PF,6-10,245,1982-11-16,US,12,
42,Lance Thomas,PF,6-8,240,1988-04-24,US,3,Duke
6,Travis Wear,SF,6-10,230,1990-09-21,US,R,"UNC, UCLA"
