NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
22,Matt Barnes,SF,6-7,226,1980-03-09,US,11,UCLA
25,Reggie Bullock,SF,6-6,205,1991-03-16,US,1,UNC
11,Jamal Crawford,SG,6-5,185,1980-03-20,US,14,Michigan
9,Jared Cunningham,SG,6-4,195,1991-05-22,US,2,Oregon State
0,Glen Davis,PF,6-9,289,1986-01-01,US,7,LSU
14,Chris Douglas-Roberts,SG,6-7,200,1987-01-08,US,5,Memphis
1,Jordan Farmar,PG,6-2,180,1986-11-30,US,7,UCLA
32,Blake Griffin,PF,6-9,250,1989-03-16,US,4,Oklahoma
1,Jordan Hamilton,SF,6-7,220,1990-10-06,US,3,Texas
10,Spencer Hawes,PF,7-1,245,1988-04-28,US,7,Washington
14,Lester Hudson,SG,6-3,190,1984-08-07,US,3,University of Tennessee at Martin
31,Dahntay Jones,SF,6-6,225,1980-12-27,US,10,"Rutgers University, Duke"
6,DeAndre Jordan,C,6-11,265,1988-07-21,US,6,Texas A&M
3,Chris Paul,PG,6-1,175,1985-05-06,US,9,Wake Forest
4,J.J. Redick,SG,6-3,200,1984-06-24,US,8,Duke
25,Austin Rivers,PG,6-3,200,1992-08-01,US,2,Duke
8,Nate Robinson,PG,5-9,180,1984-05-31,US,9,Washington
15,Hedo Türkoğlu,SF,6-10,220,1979-03-19,TR,14,
13,Ekpe Udoh,PF,6-10,245,1987-05-20,US,4,"Michigan, Baylor"
30,C.J. Wilcox,SG,6-5,195,1990-12-30,US,R,Washington
