NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
30,Earl Barron,C,7-0,250,1981-08-14,US,7,Memphis
2,Eric Bledsoe,PG,6-1,214,1989-12-09,US,4,Kentucky
25,Reggie Bullock,SF,6-6,205,1991-03-16,US,1,UNC
10,Seth Curry,PG,6-2,185,1990-08-23,US,1,"Liberty, Duke"
1,Goran Dragić,SG,6-3,190,1986-05-06,SI,6,
10,Zoran Dragić,SG,6-5,200,1989-06-22,SI,R,
4,Tyler Ennis,PG,6-3,194,1994-08-24,CA,R,Syracuse
20,Archie Goodwin,SG,6-5,200,1994-08-17,US,1,Kentucky
14,Gerald Green,SG,6-6,205,1986-01-26,US,7,
3,Brandon Knight,SG,6-2,182,1991-12-02,US,3,Kentucky
21,Alex Len,C,7-0,250,1993-06-16,UA,1,Maryland
8,Jerel McNeal,PG,6-3,200,1987-06-01,US,R,Marquette
15,Marcus Morris,PF,6-8,218,1989-09-02,US,3,Kansas
11,Markieff Morris,PF,6-8,245,1989-09-02,US,3,Kansas
22,Miles Plumlee,C,6-11,249,1988-09-01,US,2,Duke
1,A.J. Price,PG,6-2,181,1986-10-07,US,5,UConn
43,Shavlik Randolph,PF,6-10,240,1983-11-24,US,7,Duke
3,Isaiah Thomas,PG,5-9,185,1989-02-07,US,3,Washington
23,Marcus Thornton,SG,6-4,205,1987-06-05,US,5,LSU
40,Anthony Tolliver,PF,6-8,240,1985-06-01,US,6,Creighton
17,P.J. Tucker,SF,6-5,245,1985-05-05,US,3,Texas
12,T.J. Warren,SF,6-8,220,1993-09-05,US,R,NC State
32,Brandan Wright,PF,6-10,210,1987-10-05,US,6,UNC
