PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ron Brewer,24.0,82,,2815,548,1182,0.46399999999999997,6,32,0.188,542,1150,0.47100000000000003,0.466,184,219,0.84,54,160,214,216,98,48,167,154,1286
Kermit Washington,28.0,80,,2657,421,761,0.5529999999999999,0,3,0.0,421,758,0.555,0.5529999999999999,231,360,0.642,325,517,842,167,73,131,170,307,1073
Tom Owens,30.0,76,,2337,518,1008,0.514,1,2,0.5,517,1006,0.514,0.514,213,283,0.753,189,384,573,194,45,53,174,270,1250
T.R. Dunn,24.0,82,,1841,240,551,0.436,0,3,0.0,240,548,0.43799999999999994,0.436,84,111,0.757,132,192,324,147,102,31,91,145,564
Dave Twardzik,29.0,67,,1594,183,394,0.46399999999999997,4,7,0.5710000000000001,179,387,0.46299999999999997,0.47,197,252,0.782,52,104,156,273,77,1,131,149,567
Bob Gross,26.0,62,,1581,221,472,0.46799999999999997,1,10,0.1,220,462,0.47600000000000003,0.469,95,114,0.833,84,165,249,228,60,47,166,179,538
Abdul Jeelani,25.0,77,,1286,288,565,0.51,0,6,0.0,288,559,0.515,0.51,161,204,0.789,114,156,270,95,40,40,117,155,737
Jim Paxson,22.0,72,,1270,189,460,0.41100000000000003,1,22,0.045,188,438,0.429,0.41200000000000003,64,90,0.711,25,84,109,144,48,5,93,97,443
Maurice Lucas,27.0,41,,1176,243,552,0.44,2,5,0.4,241,547,0.441,0.442,100,137,0.73,85,240,325,125,23,35,148,141,588
Jim Brewer,28.0,67,,1016,90,184,0.489,0,5,0.0,90,179,0.503,0.489,14,29,0.483,101,156,257,75,42,43,47,129,194
Calvin Natt,23.0,25,,811,201,419,0.48,2,4,0.5,199,415,0.48,0.48200000000000004,107,139,0.77,66,112,178,57,24,12,65,57,511
Larry Steele,30.0,16,,446,62,146,0.425,0,4,0.0,62,142,0.43700000000000006,0.425,22,27,0.815,13,32,45,67,25,1,33,53,146
Lionel Hollins,26.0,20,,413,82,213,0.385,1,10,0.1,81,203,0.39899999999999997,0.387,34,53,0.642,5,15,20,50,30,1,60,35,199
Kevin Kunnert,28.0,18,,302,50,114,0.439,0,0,,50,114,0.439,0.439,26,43,0.605,37,75,112,29,7,22,41,59,126
Billy Ray Bates,23.0,16,,235,72,146,0.493,8,19,0.42100000000000004,64,127,0.504,0.521,28,39,0.718,13,16,29,31,14,2,20,26,180
Team Totals,,82,,19780,3408,7167,0.47600000000000003,26,132,0.19699999999999998,3382,7035,0.48100000000000004,0.47700000000000004,1560,2100,0.743,1295,2408,3703,1898,708,472,1552,1956,8402
