PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
George Gervin,27.0,78,,2934,1024,1940,0.528,32,102,0.314,992,1838,0.54,0.536,505,593,0.852,154,249,403,202,110,79,254,208,2585
Larry Kenon,27.0,78,,2798,647,1333,0.485,1,9,0.111,646,1324,0.488,0.486,270,345,0.7829999999999999,258,517,775,231,111,18,232,192,1565
James Silas,30.0,77,,2293,513,999,0.514,0,4,0.0,513,995,0.516,0.514,339,382,0.887,45,122,167,347,61,14,192,206,1365
Mark Olberding,23.0,75,,2111,291,609,0.478,0,3,0.0,291,606,0.48,0.478,210,264,0.795,83,335,418,327,67,22,180,274,792
Kevin Restani,28.0,82,,1966,369,727,0.508,5,29,0.172,364,698,0.521,0.511,131,161,0.8140000000000001,142,244,386,189,54,12,129,186,874
Paul Griffin,26.0,82,,1812,173,313,0.5529999999999999,0,0,,173,313,0.5529999999999999,0.5529999999999999,174,240,0.725,154,284,438,250,81,53,131,306,520
Mike Gale,29.0,67,,1474,171,377,0.45399999999999996,2,13,0.154,169,364,0.46399999999999997,0.456,97,120,0.8079999999999999,34,118,152,312,123,13,115,134,441
Mike Evans,24.0,79,,1246,208,464,0.44799999999999995,12,42,0.28600000000000003,196,422,0.46399999999999997,0.461,58,85,0.682,29,78,107,230,60,9,128,194,486
Billy Paultz,31.0,47,,1213,189,381,0.496,0,1,0.0,189,380,0.49700000000000005,0.496,66,100,0.66,95,226,321,118,47,45,58,127,444
John Shumate,27.0,27,,777,138,263,0.525,0,1,0.0,138,262,0.527,0.525,115,147,0.782,65,149,214,52,23,31,50,71,391
Wiley Peck,22.0,52,,628,73,169,0.43200000000000005,0,2,0.0,73,167,0.43700000000000006,0.43200000000000005,34,55,0.618,66,117,183,33,17,23,48,100,180
Irv Kiffin,28.0,26,,212,32,96,0.33299999999999996,0,0,,32,96,0.33299999999999996,0.33299999999999996,18,25,0.72,12,28,40,19,10,2,30,43,82
Sylvester Norris,22.0,17,,189,18,43,0.419,0,0,,18,43,0.419,0.419,4,6,0.667,10,33,43,6,3,12,19,41,40
Tim Bassett,28.0,5,,72,4,12,0.33299999999999996,0,0,,4,12,0.33299999999999996,0.33299999999999996,2,3,0.667,4,11,15,10,3,0,5,13,10
Harry Davis,24.0,4,,30,6,12,0.5,0,0,,6,12,0.5,0.5,1,2,0.5,2,4,6,0,1,0,3,8,13
Team Totals,,82,,19755,3856,7738,0.498,52,206,0.252,3804,7532,0.505,0.502,2024,2528,0.8009999999999999,1153,2515,3668,2326,771,333,1589,2103,9788
