Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,9.0,464,DET,Detroit Pistons,22.0,NBA,SF,56,0,11.2,2.3,4.7,0.496,0.0,0.0,0.0,2.3,4.7,0.498,0.496,1.0,1.3,0.8,0.7,0.9,1.6,0.4,0.5,0.1,1.2,1.9,5.6
1986,9.0,464,DET,Detroit Pistons,23.0,NBA,SF,82,1,15.8,3.6,7.4,0.484,0.0,0.1,0.222,3.6,7.3,0.487,0.485,0.7,0.9,0.795,1.0,1.9,2.9,0.5,0.8,0.1,1.0,2.0,7.9
1987,9.0,464,DET,Detroit Pistons,24.0,NBA,SF,40,0,8.3,1.4,3.6,0.393,0.0,0.1,0.0,1.4,3.6,0.401,0.393,0.6,1.0,0.615,0.5,0.9,1.5,0.5,0.3,0.0,0.9,1.0,3.5
1988,14.0,464,LAL,Los Angeles Lakers,25.0,NBA,SF,13,1,18.6,4.4,7.8,0.564,0.1,0.2,0.333,4.3,7.5,0.571,0.569,2.2,3.0,0.718,0.6,1.5,2.1,1.2,0.8,0.2,2.0,3.2,11.0
1989,14.0,464,LAL,Los Angeles Lakers,26.0,NBA,SF,63,2,12.5,2.5,5.5,0.458,0.0,0.3,0.095,2.5,5.1,0.481,0.461,1.1,1.3,0.843,0.8,1.2,2.1,0.7,0.6,0.1,1.0,1.7,6.2
1990,18.0,464,MIN,Minnesota Timberwolves,27.0,NBA,SG,82,81,38.6,8.8,19.3,0.457,0.1,0.7,0.167,8.7,18.6,0.468,0.46,5.5,6.9,0.787,2.5,3.0,5.5,2.6,1.4,0.4,3.1,3.2,23.2
1991,18.0,464,MIN,Minnesota Timberwolves,28.0,NBA,SG,77,71,37.6,8.5,19.5,0.434,0.2,0.8,0.262,8.3,18.7,0.441,0.439,4.6,5.8,0.803,2.1,2.4,4.5,2.8,1.6,0.6,2.5,2.6,21.8
1992,18.0,464,MIN,Minnesota Timberwolves,29.0,NBA,SF,78,41,31.3,6.8,14.6,0.464,0.2,0.5,0.351,6.6,14.1,0.467,0.469,3.1,3.8,0.803,1.8,1.9,3.7,2.9,1.1,0.4,2.1,2.6,16.8
1993,20.0,464,NYK,New York Knicks,30.0,NBA,SF,58,13,18.3,3.3,6.8,0.49,0.0,0.1,0.4,3.3,6.7,0.491,0.492,1.0,1.5,0.678,1.0,1.7,2.7,1.1,0.6,0.1,0.9,2.6,7.7
1994,31.0,464,TOT,Total After Trade,31.0,NBA,SF,63,14,19.3,3.6,8.1,0.443,0.1,0.4,0.25,3.5,7.7,0.455,0.45,1.5,1.9,0.783,1.2,1.7,3.0,1.3,0.8,0.2,1.3,2.1,8.8
1994,20.0,464,NYK,New York Knicks,31.0,NBA,SF,22,11,17.2,2.9,5.8,0.492,0.0,0.1,0.333,2.8,5.7,0.496,0.496,1.4,1.7,0.811,1.3,1.5,2.7,1.4,0.9,0.0,1.3,2.7,7.1
1994,7.0,464,DAL,Dallas Mavericks,31.0,NBA,SF,41,3,20.4,4.0,9.4,0.427,0.1,0.6,0.24,3.9,8.8,0.44,0.435,1.6,2.0,0.771,1.2,1.9,3.1,1.2,0.7,0.3,1.3,1.8,9.7
1995,6.0,464,CLE,Cleveland Cavaliers,32.0,NBA,SF,78,0,14.5,2.1,5.0,0.411,0.2,0.5,0.357,1.9,4.5,0.417,0.43,1.7,2.0,0.83,0.8,1.2,2.0,0.9,0.4,0.1,0.8,1.6,6.0
