Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",23.0,NBA,PF,8.0,8.0,311.0,86.0,149.0,0.58,0.0,1.0,0.0,86.0,148.0,0.58,0.58,48.0,58.0,0.83,21.0,49.0,70.0,20.0,12.0,7.0,26.0,33.0,220.0
1986,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",24.0,NBA,PF,14.0,14.0,510.0,130.0,253.0,0.51,0.0,0.0,,130.0,253.0,0.51,0.51,43.0,62.0,0.69,33.0,105.0,138.0,42.0,20.0,16.0,39.0,52.0,303.0
1987,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",25.0,NBA,PF,12.0,10.0,443.0,105.0,215.0,0.49,0.0,0.0,,105.0,215.0,0.49,0.49,57.0,83.0,0.69,29.0,66.0,95.0,28.0,12.0,13.0,15.0,51.0,267.0
1988,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",26.0,NBA,PF,5.0,5.0,193.0,50.0,89.0,0.56,0.0,0.0,,50.0,89.0,0.56,0.56,29.0,44.0,0.66,12.0,27.0,39.0,13.0,9.0,3.0,12.0,16.0,129.0
1989,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",27.0,NBA,SF,5.0,4.0,124.0,25.0,69.0,0.36,0.0,1.0,0.0,25.0,68.0,0.37,0.36,14.0,16.0,0.88,19.0,14.0,33.0,7.0,3.0,0.0,4.0,16.0,64.0
1990,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",28.0,NBA,PF,10.0,10.0,375.0,103.0,195.0,0.53,1.0,5.0,0.2,102.0,190.0,0.54,0.53,42.0,52.0,0.81,31.0,63.0,94.0,22.0,7.0,4.0,19.0,39.0,249.0
1991,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",29.0,NBA,PF,4.0,4.0,124.0,25.0,49.0,0.51,0.0,1.0,0.0,25.0,48.0,0.52,0.51,9.0,18.0,0.5,14.0,23.0,37.0,4.0,3.0,2.0,9.0,13.0,59.0
1992,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",30.0,NBA,PF,3.0,3.0,122.0,34.0,66.0,0.52,0.0,1.0,0.0,34.0,65.0,0.52,0.52,10.0,20.0,0.5,15.0,19.0,34.0,7.0,4.0,4.0,7.0,9.0,78.0
1993,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",31.0,NBA,PF,10.0,0.0,138.0,31.0,70.0,0.44,0.0,1.0,0.0,31.0,69.0,0.45,0.44,5.0,8.0,0.62,17.0,22.0,39.0,5.0,3.0,1.0,8.0,27.0,67.0
1994,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",32.0,NBA,PF,4.0,1.0,72.0,11.0,22.0,0.5,0.0,0.0,,11.0,22.0,0.5,0.5,10.0,12.0,0.83,10.0,15.0,25.0,2.0,5.0,3.0,4.0,10.0,32.0
1995,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",33.0,NBA,PF,15.0,2.0,135.0,18.0,48.0,0.38,0.0,1.0,0.0,18.0,47.0,0.38,0.38,22.0,30.0,0.73,12.0,19.0,31.0,4.0,5.0,1.0,7.0,25.0,58.0
1997,21,644,SEA,Seattle Supersonics,Terry Cummings,"March 15, 1961",35.0,NBA,PF,12.0,6.0,292.0,45.0,92.0,0.49,0.0,0.0,,45.0,92.0,0.49,0.49,16.0,24.0,0.67,28.0,44.0,72.0,14.0,11.0,6.0,14.0,39.0,106.0
1998,20,644,NYK,New York Knicks,Terry Cummings,"March 15, 1961",36.0,NBA,PF,8.0,1.0,120.0,15.0,34.0,0.44,0.0,0.0,,15.0,34.0,0.44,0.44,2.0,8.0,0.25,11.0,24.0,35.0,5.0,4.0,2.0,7.0,23.0,32.0
