Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1982,3,3129,NJN,New Jersey Nets,21.0,NBA,PF,2.0,,79.0,8.8,16.4,0.54,0.0,0.0,,8.8,16.4,0.54,4.4,9.5,0.47,6.9,6.3,13.2,1.9,0.6,1.3,2.5,4.4,22.1,,109.0,105.0
1983,3,3129,NJN,New Jersey Nets,22.0,NBA,PF,2.0,,85.0,6.4,12.7,0.5,0.0,0.0,,6.4,12.7,0.5,9.3,11.6,0.8,5.2,8.1,13.3,2.3,1.2,1.2,2.9,6.9,22.0,,125.0,113.0
1984,3,3129,NJN,New Jersey Nets,23.0,NBA,PF,11.0,,473.0,6.5,13.4,0.48,0.0,0.0,,6.5,13.4,0.48,4.6,8.3,0.56,5.9,10.1,16.0,1.6,1.5,1.8,3.0,4.5,17.6,,105.0,99.0
1985,3,3129,NJN,New Jersey Nets,24.0,NBA,PF,3.0,3.0,123.0,9.6,14.8,0.65,0.0,0.0,,9.6,14.8,0.65,8.1,11.1,0.73,5.2,6.7,11.8,0.4,1.1,1.9,2.2,4.4,27.4,,133.0,114.0
1986,3,3129,NJN,New Jersey Nets,25.0,NBA,PF,3.0,3.0,126.0,8.1,11.2,0.72,0.0,0.0,,8.1,11.2,0.72,7.7,10.0,0.77,4.6,7.3,12.0,0.8,2.3,0.4,2.3,5.8,23.9,,142.0,116.0
1990,25,3129,POR,Portland Trail Blazers,29.0,NBA,PF,21.0,21.0,776.0,6.3,12.4,0.51,0.0,0.0,,6.3,12.4,0.51,4.4,6.5,0.68,4.2,7.9,12.0,2.4,0.8,0.4,2.6,4.6,17.0,,112.0,109.0
1991,25,3129,POR,Portland Trail Blazers,30.0,NBA,PF,16.0,16.0,572.0,5.8,11.7,0.5,0.0,0.0,,5.8,11.7,0.5,3.1,5.2,0.6,4.8,8.1,12.8,1.3,0.9,0.4,2.2,4.9,14.8,,110.0,111.0
1992,25,3129,POR,Portland Trail Blazers,31.0,NBA,PF,21.0,21.0,758.0,4.4,8.7,0.51,0.0,0.0,,4.4,8.7,0.51,4.6,6.1,0.76,4.1,7.9,12.0,1.5,1.8,1.1,3.0,4.9,13.5,,110.0,109.0
1993,25,3129,POR,Portland Trail Blazers,32.0,NBA,PF,4.0,4.0,119.0,4.9,10.2,0.48,0.0,0.0,,4.9,10.2,0.48,5.7,8.4,0.68,5.3,7.5,12.8,0.4,0.4,1.3,2.7,5.3,15.5,,110.0,106.0
1994,25,3129,POR,Portland Trail Blazers,33.0,NBA,PF,4.0,4.0,125.0,7.8,11.5,0.68,0.0,0.0,,7.8,11.5,0.68,5.3,6.1,0.87,5.7,8.6,14.3,0.8,1.6,0.8,3.3,4.5,20.9,,129.0,115.0
1995,25,3129,POR,Portland Trail Blazers,34.0,NBA,PF,3.0,3.0,103.0,4.6,7.7,0.6,0.0,0.0,,4.6,7.7,0.6,3.6,5.6,0.64,4.1,5.6,9.7,0.5,2.0,1.0,2.0,7.1,12.8,,118.0,125.0
1996,25,3129,POR,Portland Trail Blazers,35.0,NBA,PF,5.0,1.0,133.0,3.8,9.6,0.39,0.4,0.8,0.5,3.3,8.8,0.38,2.1,2.9,0.71,5.4,5.0,10.4,0.4,0.4,1.7,2.1,7.5,10.0,,98.0,115.0
1997,20,3129,NYK,New York Knicks,36.0,NBA,PF,10.0,1.0,193.0,4.8,9.9,0.49,0.0,0.0,,4.8,9.9,0.49,2.5,4.8,0.53,3.7,7.6,11.3,1.7,0.8,1.1,1.1,9.6,12.2,,110.0,103.0
1998,20,3129,NYK,New York Knicks,37.0,NBA,PF,3.0,0.0,45.0,4.9,11.1,0.44,0.0,0.0,,4.9,11.1,0.44,7.4,9.8,0.75,8.6,11.1,19.7,1.2,0.0,1.2,3.7,6.2,17.2,,111.0,105.0
