OPP_SEASON,OPP_TEAM ID,TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
2014,24,PHO,82,240.9,38.0,83.4,0.46,6.8,19.9,0.34,31.2,63.5,0.49,19.8,25.8,0.77,11.3,31.5,42.8,20.3,7.5,4.0,15.3,21.3,102.6
2014,25,POR,82,242.1,39.6,87.8,0.45,6.5,18.3,0.36,33.1,69.5,0.48,17.0,22.2,0.77,11.5,32.0,43.5,20.4,7.8,3.7,12.0,20.7,102.8
2014,11,HOU,82,241.8,39.0,88.0,0.44,8.1,23.0,0.35,30.9,65.0,0.48,17.0,22.5,0.76,11.9,29.7,41.7,22.2,8.6,5.6,14.0,24.3,103.1
2014,26,SAC,82,241.8,37.8,82.1,0.46,8.5,22.4,0.38,29.4,59.8,0.49,19.2,26.1,0.74,9.9,31.3,41.2,23.5,7.8,5.6,13.6,23.1,103.4
2014,17,MIL,82,242.4,38.4,82.0,0.47,8.5,22.3,0.38,29.9,59.7,0.5,18.4,24.5,0.75,11.7,31.8,43.5,22.8,7.8,5.0,14.1,20.6,103.7
2014,18,MIN,82,242.1,40.5,86.0,0.47,8.1,22.2,0.36,32.4,63.8,0.51,15.2,20.1,0.76,11.1,33.1,44.2,22.9,7.9,5.6,16.4,23.6,104.3
2014,9,DET,82,241.2,39.1,83.2,0.47,8.3,22.8,0.36,30.8,60.3,0.51,18.1,24.0,0.76,11.1,31.9,43.0,24.4,8.2,4.9,15.0,20.7,104.7
2014,8,DEN,82,240.9,39.5,86.4,0.46,7.4,21.0,0.35,32.1,65.4,0.49,20.2,26.4,0.76,11.3,32.5,43.8,22.5,8.5,5.6,14.4,21.7,106.5
2014,14,LAL,82,240.3,42.0,89.6,0.47,8.1,22.5,0.36,33.8,67.2,0.5,17.2,23.7,0.73,13.0,36.0,49.0,25.8,9.6,4.7,14.2,19.3,109.2
2014,23,PHI,82,242.1,40.0,85.1,0.47,9.0,24.4,0.37,31.0,60.7,0.51,20.8,27.6,0.75,11.9,35.0,46.9,26.1,9.0,6.8,17.0,20.6,109.9
