Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,1,ATL,Atlanta Hawks,82,240.6,38.5,85.3,0.45,1.6,5.2,0.3,37.0,80.1,0.46,24.2,31.7,0.76,14.6,27.8,42.4,23.4,7.5,4.7,16.0,24.8,102.8
1987,5,CHI,Chicago Bulls,82,241.8,40.7,84.3,0.48,1.4,4.1,0.34,39.3,80.2,0.49,21.1,27.5,0.77,12.5,28.3,40.8,24.7,7.1,6.0,15.5,22.5,103.9
1987,11,HOU,Houston Rockets,82,241.2,40.8,88.1,0.46,1.2,4.3,0.28,39.6,83.8,0.47,23.0,29.5,0.78,14.2,28.8,43.1,25.9,8.8,4.5,16.7,23.4,105.9
1987,2,BOS,Boston Celtics,82,241.5,42.3,91.5,0.46,1.5,4.9,0.31,40.8,86.5,0.47,19.9,26.2,0.76,15.1,27.9,43.0,25.1,8.8,4.1,14.1,23.3,106.0
1987,17,MIL,Milwaukee Bucks,82,241.2,39.6,84.2,0.47,1.5,5.1,0.29,38.1,79.2,0.48,25.8,34.1,0.76,14.5,30.2,44.7,24.6,8.0,5.6,18.9,24.7,106.5
1987,23,PHI,Philadelphia 76Ers,82,242.4,43.1,87.9,0.49,1.5,5.1,0.29,41.7,82.8,0.5,18.9,25.0,0.76,14.8,26.9,41.7,26.9,9.9,5.4,16.7,24.2,106.6
1987,12,IND,Indiana Pacers,82,243.0,40.8,85.0,0.48,1.3,4.2,0.3,39.5,80.8,0.49,23.9,31.5,0.76,13.6,31.5,45.1,24.6,8.0,5.8,17.3,22.6,106.7
1987,30,WAB,Washington Bullets,82,240.3,43.0,90.9,0.47,1.3,4.4,0.29,41.7,86.5,0.48,20.2,26.6,0.76,16.3,30.3,46.5,26.1,8.5,6.7,17.5,23.6,107.3
1987,29,UTA,Utah Jazz,82,240.9,40.8,89.5,0.46,1.7,5.5,0.32,39.1,84.0,0.46,24.1,31.3,0.77,16.0,32.2,48.1,24.5,8.8,5.6,19.3,24.3,107.5
1987,9,DET,Detroit Pistons,82,241.8,41.2,89.1,0.46,1.6,5.1,0.32,39.5,84.0,0.47,23.8,31.8,0.75,13.9,28.5,42.5,24.7,8.2,5.8,15.8,25.2,107.8
1987,6,CLE,Cleveland Cavaliers,82,240.9,43.4,90.7,0.48,1.2,4.2,0.28,42.2,86.6,0.49,20.3,26.9,0.75,15.3,29.2,44.5,25.1,9.9,5.8,17.0,25.3,108.2
1987,14,LAL,Los Angeles Lakers,82,240.6,42.9,91.8,0.47,1.5,5.3,0.28,41.4,86.6,0.48,21.1,27.6,0.76,15.6,26.5,42.1,27.0,8.8,4.9,16.7,24.4,108.5
1987,20,NYK,New York Knicks,82,241.2,42.7,87.1,0.49,1.1,4.4,0.26,41.5,82.7,0.5,23.5,30.9,0.76,16.2,29.9,46.1,26.2,9.3,4.9,17.3,23.8,110.0
1987,7,DAL,Dallas Mavericks,82,242.4,43.7,91.5,0.48,1.6,5.3,0.3,42.2,86.2,0.49,21.3,28.0,0.76,15.3,29.1,44.4,28.1,7.0,5.1,16.2,26.0,110.4
1987,21,SEA,Seattle Supersonics,82,242.1,42.9,89.4,0.48,1.1,4.0,0.29,41.7,85.4,0.49,26.4,34.4,0.77,15.1,27.8,42.9,24.7,8.9,5.0,16.4,24.7,113.3
1987,27,SAS,San Antonio Spurs,82,241.5,45.2,89.1,0.51,1.3,4.6,0.28,43.9,84.5,0.52,21.8,28.8,0.76,13.4,30.0,43.4,29.0,8.5,5.6,17.3,22.5,113.4
1987,3,NJN,New Jersey Nets,82,242.1,41.7,86.9,0.48,1.4,4.5,0.32,40.2,82.4,0.49,28.7,36.8,0.78,13.8,28.7,42.5,23.9,9.9,6.9,16.5,25.9,113.5
1987,24,PHO,Phoenix Suns,82,242.1,44.2,89.5,0.49,1.5,4.8,0.31,42.7,84.6,0.5,23.7,31.3,0.76,15.1,28.7,43.8,27.4,9.7,5.3,17.4,24.8,113.5
1987,26,SAC,Sacramento Kings,82,241.2,44.6,91.1,0.49,1.5,4.8,0.32,43.1,86.3,0.5,23.4,30.5,0.77,14.1,28.7,42.9,26.3,8.6,5.9,14.8,25.2,114.1
1987,10,GSW,Golden State Warriors,82,242.7,44.1,89.5,0.49,1.9,5.6,0.34,42.2,83.9,0.5,24.3,32.5,0.75,15.2,30.3,45.5,26.5,8.4,5.5,17.2,25.0,114.4
1987,25,POR,Portland Trail Blazers,82,241.5,44.5,91.7,0.48,1.4,5.1,0.28,43.1,86.6,0.5,24.3,31.6,0.77,14.7,27.8,42.5,26.7,9.0,5.8,18.3,27.2,114.8
1987,13,LAC,Los Angeles Clippers,82,241.2,45.8,88.5,0.52,1.3,3.9,0.34,44.5,84.6,0.53,22.9,30.7,0.75,14.5,32.2,46.7,29.5,9.8,6.5,18.7,24.6,115.9
1987,8,DEN,Denver Nuggets,82,241.2,44.3,89.5,0.5,1.4,4.4,0.31,43.0,85.1,0.5,27.5,35.4,0.78,14.2,33.2,47.4,26.7,6.8,5.5,19.1,26.2,117.6
