Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,21,2713,SEA,Seattle Supersonics,22.0,NBA,PG,43.0,1.0,9.0,1.0,2.3,0.42,0.0,0.2,0.2,0.9,2.1,0.44,0.43,0.7,1.1,0.59,0.2,0.8,1.0,1.7,0.7,0.0,0.9,1.2,2.7
1997,21,2713,SEA,Seattle Supersonics,23.0,NBA,PG,67.0,0.0,11.6,1.1,2.4,0.45,0.1,0.2,0.27,1.0,2.2,0.47,0.46,0.7,1.0,0.71,0.3,0.8,1.0,2.4,0.6,0.0,0.7,1.4,3.0
1998,31,2713,TOT,Total After Trade,24.0,NBA,PG,64.0,0.0,14.3,1.2,2.9,0.43,0.0,0.3,0.12,1.2,2.6,0.46,0.44,0.8,1.1,0.69,0.3,1.0,1.3,2.8,0.9,0.1,1.0,1.8,3.3
1998,21,2713,SEA,Seattle Supersonics,24.0,NBA,PG,17.0,0.0,4.4,0.6,1.4,0.44,0.0,0.1,0.0,0.6,1.3,0.46,0.44,0.3,0.6,0.5,0.0,0.2,0.2,0.8,0.0,0.1,0.7,0.9,1.5
1998,23,2713,PHI,Philadelphia 76Ers,24.0,NBA,PG,47.0,0.0,18.0,1.5,3.4,0.43,0.0,0.3,0.12,1.4,3.1,0.46,0.44,0.9,1.3,0.72,0.4,1.2,1.6,3.5,1.3,0.1,1.1,2.1,3.9
1999,23,2713,PHI,Philadelphia 76Ers,25.0,NBA,PG,48.0,48.0,35.8,3.1,7.3,0.43,0.1,0.4,0.24,3.0,6.8,0.44,0.44,2.3,3.1,0.73,0.5,2.9,3.4,6.3,2.1,0.0,2.3,3.1,8.6
2001,23,2713,PHI,Philadelphia 76Ers,27.0,NBA,PG,50.0,50.0,34.8,3.6,8.7,0.42,0.1,0.4,0.26,3.5,8.3,0.42,0.42,2.4,3.1,0.79,0.5,2.8,3.3,7.4,1.5,0.1,2.5,2.5,9.8
2002,23,2713,PHI,Philadelphia 76Ers,28.0,NBA,PG,61.0,61.0,36.5,4.5,10.2,0.44,0.0,0.4,0.11,4.5,9.8,0.46,0.44,3.0,3.7,0.81,0.5,3.0,3.5,6.6,1.6,0.1,2.3,2.7,12.1
2003,23,2713,PHI,Philadelphia 76Ers,29.0,NBA,PG,82.0,82.0,37.9,4.4,9.7,0.45,0.1,0.4,0.22,4.3,9.4,0.46,0.46,4.0,4.6,0.86,0.9,2.8,3.7,6.6,1.6,0.1,2.4,2.9,12.9
2004,23,2713,PHI,Philadelphia 76Ers,30.0,NBA,PG,82.0,82.0,36.2,3.6,8.7,0.41,0.0,0.2,0.11,3.6,8.5,0.42,0.41,3.1,3.9,0.8,0.8,2.7,3.4,6.9,1.2,0.1,2.3,2.6,10.3
2005,6,2713,CLE,Cleveland Cavaliers,31.0,NBA,SG,81.0,15.0,22.8,1.5,4.0,0.38,0.2,0.6,0.29,1.4,3.5,0.4,0.4,0.7,1.0,0.74,0.5,1.5,1.9,3.9,0.8,0.2,1.1,2.3,4.0
2006,6,2713,CLE,Cleveland Cavaliers,32.0,NBA,PG,82.0,82.0,28.7,2.0,4.9,0.41,0.0,0.1,0.1,2.0,4.7,0.42,0.41,0.8,1.1,0.69,0.5,2.0,2.4,4.2,0.9,0.2,1.4,2.7,4.8
2007,6,2713,CLE,Cleveland Cavaliers,33.0,NBA,PG,82.0,45.0,23.5,1.6,4.0,0.42,0.0,0.0,0.0,1.6,3.9,0.42,0.42,0.9,1.4,0.64,0.4,1.9,2.3,4.0,0.7,0.2,1.4,2.3,4.2
2008,6,2713,CLE,Cleveland Cavaliers,34.0,NBA,PG,22.0,5.0,13.9,0.3,1.7,0.16,0.0,0.1,0.0,0.3,1.6,0.17,0.16,0.5,1.0,0.46,0.2,0.7,0.9,1.9,0.5,0.2,0.5,1.4,1.0
