SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
2005,27,SAS,Tony Parker,22,80,2735,18.0,0.53,0.14,0.29,2.0,10.7,6.4,33.2,1.9,0.1,14.6,25.1,,3.6,4.5,8.1,0.14,,1.4,0.6,2.0,2.8
2005,27,SAS,Bruce Bowen,33,82,2627,9.5,0.52,0.42,0.19,2.2,10.5,6.3,7.5,1.1,1.1,8.1,12.5,,2.1,4.0,6.1,0.11,,-1.4,1.2,-0.1,1.2
2005,27,SAS,Tim Duncan,28,66,2203,27.0,0.54,0.01,0.44,10.7,28.2,19.4,16.1,1.1,5.7,9.3,28.9,,5.5,5.7,11.2,0.24,,4.8,2.8,7.6,5.4
2005,27,SAS,Manu GinAbili,27,74,2193,22.3,0.61,0.33,0.57,4.0,13.6,8.8,23.0,2.9,0.9,15.0,24.3,,6.4,4.6,11.0,0.24,,4.1,2.8,6.9,4.9
2005,27,SAS,Rasho NesteroviA,28,70,1785,12.0,0.46,0.0,0.07,12.0,18.0,15.0,6.3,0.9,4.7,14.1,13.5,,0.5,3.8,4.2,0.11,,-2.7,1.9,-0.7,0.6
2005,27,SAS,Brent Barry,33,81,1742,14.0,0.58,0.61,0.29,1.9,10.8,6.4,16.3,1.2,0.8,11.0,15.6,,3.5,2.7,6.1,0.17,,1.1,1.3,2.4,1.9
2005,27,SAS,Robert Horry,34,75,1396,14.9,0.53,0.37,0.29,7.6,14.8,11.2,9.2,2.6,3.1,14.0,16.4,,1.4,3.1,4.6,0.16,,0.2,2.8,3.0,1.8
2005,27,SAS,Devin Brown,26,67,1238,14.6,0.53,0.3,0.32,3.5,13.2,8.3,12.4,1.7,0.7,10.2,19.5,,1.6,2.1,3.7,0.14,,0.2,1.1,1.3,1.0
2005,27,SAS,Beno Udrih,22,80,1149,14.3,0.55,0.36,0.23,1.6,6.8,4.2,22.2,1.9,0.6,15.2,20.5,,1.3,1.8,3.1,0.13,,0.1,0.8,0.9,0.9
2005,27,SAS,Malik Rose,30,50,862,14.0,0.51,0.02,0.37,12.9,17.9,15.4,8.0,1.9,0.8,15.3,19.8,,0.6,1.7,2.3,0.13,,-2.2,0.8,-1.4,0.1
2005,27,SAS,Tony Massenburg,37,61,699,8.5,0.47,0.0,0.35,9.0,18.3,13.6,3.2,1.4,2.1,16.0,16.6,,-0.3,1.4,1.1,0.08,,-6.0,0.7,-5.4,-0.6
2005,27,SAS,Nazr Mohammed,27,23,414,14.2,0.43,0.0,0.39,22.0,19.5,20.8,3.2,0.7,5.8,13.9,21.8,,-0.1,0.9,0.8,0.1,,-3.9,-0.8,-4.7,-0.3
2005,27,SAS,Mike Wilks,25,48,278,11.0,0.48,0.21,0.21,1.7,8.8,5.3,19.1,2.7,0.3,14.3,16.4,,0.1,0.5,0.6,0.1,,-3.2,2.1,-1.1,0.1
2005,27,SAS,Sean Marks,29,23,244,8.7,0.41,0.04,0.35,8.6,18.2,13.4,5.2,0.7,3.3,13.2,20.3,,-0.3,0.5,0.2,0.04,,-5.9,-0.1,-6.0,-0.2
2005,27,SAS,Glenn Robinson,32,9,157,17.2,0.52,0.08,0.3,3.0,14.9,8.9,9.8,1.4,1.4,7.4,27.9,,0.2,0.3,0.5,0.15,,0.1,0.6,0.7,0.1
2005,27,SAS,Dion Glover,26,7,68,14.0,0.47,0.36,0.46,5.2,13.8,9.5,9.5,2.4,3.2,7.0,19.4,,0.1,0.1,0.2,0.15,,-0.5,3.0,2.4,0.1
2005,27,SAS,Linton Johnson,24,2,15,-3.4,0.0,0.5,0.0,0.0,23.4,11.7,0.0,3.6,0.0,33.3,9.3,,-0.1,0.0,0.0,-0.12,,-10.8,0.9,-9.9,0.0
