Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011,23,2924,PHI,Philadelphia 76Ers,22.0,NBA,SG,78.0,14.0,23.0,2.9,6.8,0.42,0.2,0.6,0.32,2.7,6.2,0.44,0.44,1.3,1.6,0.81,0.5,3.4,3.9,2.0,0.6,0.2,1.0,1.8,7.2
2012,23,2924,PHI,Philadelphia 76Ers,23.0,NBA,SF,65.0,20.0,26.4,4.0,9.1,0.45,0.2,0.8,0.22,3.9,8.3,0.47,0.46,1.1,1.7,0.68,0.4,5.4,5.8,2.8,0.6,0.3,1.6,1.8,9.4
2013,23,2924,PHI,Philadelphia 76Ers,24.0,NBA,SF,82.0,82.0,35.3,5.4,12.8,0.42,0.7,1.9,0.36,4.7,10.9,0.43,0.45,1.9,2.5,0.74,0.7,5.6,6.3,4.3,0.9,0.2,2.3,2.4,13.3
2014,31,2924,TOT,Total After Trade,25.0,NBA,SF,81.0,56.0,30.3,5.4,12.6,0.42,0.6,1.9,0.32,4.7,10.7,0.44,0.45,2.6,3.2,0.81,0.8,4.3,5.0,3.2,0.8,0.1,2.3,2.4,14.0
2014,23,2924,PHI,Philadelphia 76Ers,25.0,NBA,SF,54.0,54.0,34.9,6.6,15.4,0.43,0.7,2.4,0.29,5.9,12.9,0.46,0.45,3.5,4.2,0.83,0.9,5.0,6.0,3.7,1.0,0.1,2.9,2.7,17.4
2014,12,2924,IND,Indiana Pacers,25.0,NBA,SF,27.0,2.0,21.1,2.9,7.0,0.41,0.4,0.9,0.5,2.4,6.1,0.4,0.44,0.9,1.3,0.71,0.4,2.7,3.2,2.4,0.4,0.1,1.3,1.8,7.1
2015,2,2924,BOS,Boston Celtics,26.0,NBA,SG,82.0,57.0,27.6,3.9,9.1,0.43,0.4,1.5,0.28,3.5,7.6,0.46,0.45,1.3,1.7,0.75,0.5,4.6,5.1,5.5,1.0,0.2,2.4,2.2,9.5
2016,2,2924,BOS,Boston Celtics,27.0,NBA,SG,81.0,12.0,28.0,4.2,9.3,0.46,0.2,1.0,0.24,4.0,8.3,0.48,0.47,1.8,2.2,0.83,0.6,4.3,4.9,4.4,1.0,0.3,2.1,1.7,10.5
2017,25,2924,POR,Portland Trail Blazers,28.0,NBA,SF,65.0,12.0,25.5,3.6,8.5,0.43,0.5,1.8,0.26,3.1,6.7,0.47,0.45,1.3,1.6,0.82,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9.0
2018,25,2924,POR,Portland Trail Blazers,29.0,NBA,SF,79.0,40.0,25.7,3.3,7.3,0.45,0.5,1.7,0.32,2.7,5.6,0.48,0.48,1.2,1.4,0.85,0.4,2.7,3.1,2.2,0.6,0.4,1.3,2.1,8.2
2019,25,2924,POR,Portland Trail Blazers,30.0,NBA,PG,73.0,2.0,22.0,2.8,6.1,0.46,0.2,0.7,0.21,2.6,5.4,0.49,0.47,1.0,1.5,0.71,0.5,4.0,4.5,3.9,0.5,0.2,1.6,1.5,6.8
2020,1,2924,ATL,Atlanta Hawks,31.0,NBA,SG,19.0,0.0,13.2,1.3,3.5,0.37,0.0,0.3,0.0,1.3,3.3,0.4,0.37,0.6,0.7,0.86,0.4,1.6,2.0,2.0,0.5,0.4,1.4,1.1,3.3
