Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2012,21.0,PHI,NBA,C,51.0,15.0,812.0,131.0,291.0,0.45,3.0,8.0,0.375,128.0,283.0,0.452,0.455,18.0,34.0,0.529,88.0,158.0,246.0,31.0,20.0,34.0,33.0,111.0,283.0,,0.0
2013,22.0,ORL,NBA,C,77.0,77.0,2559.0,461.0,889.0,0.519,0.0,3.0,0.0,461.0,886.0,0.52,0.519,86.0,126.0,0.683,273.0,644.0,917.0,143.0,61.0,79.0,141.0,218.0,1008.0,,0.0
2014,23.0,ORL,NBA,C,57.0,57.0,1812.0,353.0,696.0,0.507,0.0,0.0,,353.0,696.0,0.507,0.507,105.0,137.0,0.766,185.0,441.0,626.0,104.0,60.0,47.0,112.0,169.0,811.0,,0.0
2015,24.0,ORL,NBA,C,74.0,74.0,2529.0,631.0,1206.0,0.523,2.0,6.0,0.333,629.0,1200.0,0.524,0.524,164.0,218.0,0.752,238.0,572.0,810.0,147.0,54.0,54.0,148.0,220.0,1428.0,,0.0
2016,25.0,ORL,NBA,C,65.0,60.0,2037.0,533.0,1046.0,0.51,2.0,9.0,0.222,531.0,1037.0,0.512,0.511,113.0,150.0,0.753,174.0,402.0,576.0,179.0,53.0,70.0,123.0,173.0,1181.0,,0.0
2017,26.0,ORL,NBA,C,75.0,55.0,2163.0,483.0,1031.0,0.468,23.0,75.0,0.307,460.0,956.0,0.481,0.48,107.0,160.0,0.669,176.0,603.0,779.0,208.0,76.0,74.0,117.0,180.0,1096.0,,0.0
2018,27.0,ORL,NBA,C,57.0,57.0,1683.0,399.0,840.0,0.475,64.0,204.0,0.314,335.0,636.0,0.527,0.513,77.0,94.0,0.819,101.0,422.0,523.0,191.0,56.0,62.0,109.0,144.0,939.0,,1.0
2019,28.0,ORL,NBA,C,80.0,80.0,2510.0,701.0,1354.0,0.518,84.0,231.0,0.364,617.0,1123.0,0.549,0.549,179.0,227.0,0.789,224.0,736.0,960.0,307.0,81.0,89.0,159.0,157.0,1665.0,,1.0
2020,29.0,ORL,NBA,C,62.0,62.0,1998.0,493.0,1033.0,0.477,98.0,289.0,0.339,395.0,744.0,0.531,0.525,131.0,167.0,0.784,140.0,533.0,673.0,222.0,54.0,47.0,88.0,135.0,1215.0,,0.0
2021,30.0,ORL,NBA,C,11.0,11.0,346.0,100.0,199.0,0.503,28.0,66.0,0.424,72.0,133.0,0.541,0.573,20.0,26.0,0.769,25.0,99.0,124.0,38.0,11.0,5.0,13.0,13.0,248.0,,0.0
