Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2011,23,2924,PHI,Philadelphia 76Ers,22.0,NBA,SG,78.0,1797.0,10.8,0.48,0.08,0.24,2.7,16.9,9.8,13.4,1.4,0.6,12.0,17.0,,0.0,2.2,2.3,0.06,,-2.6,0.4,-2.2,-0.1
2012,23,2924,PHI,Philadelphia 76Ers,23.0,NBA,SF,65.0,1713.0,12.6,0.48,0.08,0.18,1.7,22.8,12.2,16.9,1.2,0.9,14.1,20.3,,-0.6,3.0,2.4,0.07,,-2.2,1.0,-1.3,0.3
2013,23,2924,PHI,Philadelphia 76Ers,24.0,NBA,SF,82.0,2892.0,12.1,0.48,0.15,0.2,2.1,18.5,10.1,19.7,1.3,0.5,14.0,21.2,,-0.7,2.9,2.1,0.04,,-2.2,-0.2,-2.3,-0.3
2014,31,2924,TOT,Total After Trade,25.0,NBA,SF,81.0,2457.0,12.4,0.5,0.15,0.26,2.7,15.7,9.0,17.8,1.3,0.2,14.3,23.2,,-0.5,1.8,1.4,0.03,,-2.1,-1.2,-3.3,-0.8
2014,23,2924,PHI,Philadelphia 76Ers,25.0,NBA,SF,54.0,1886.0,13.2,0.5,0.16,0.27,2.8,16.2,9.2,17.7,1.4,0.2,14.3,24.4,,-0.2,0.9,0.7,0.02,,-1.9,-1.6,-3.5,-0.7
2014,12,2924,IND,Indiana Pacers,25.0,NBA,SF,27.0,571.0,9.7,0.47,0.13,0.18,2.5,13.9,8.5,18.4,1.0,0.3,14.2,19.1,,-0.2,0.9,0.7,0.06,,-2.8,0.2,-2.6,-0.1
2015,2,2924,BOS,Boston Celtics,26.0,NBA,SG,82.0,2260.0,12.8,0.48,0.16,0.19,1.9,18.5,10.1,30.0,1.8,0.7,19.7,19.5,,-0.3,2.8,2.5,0.05,,-1.8,0.8,-1.0,0.6
2016,2,2924,BOS,Boston Celtics,27.0,NBA,SG,81.0,2271.0,13.6,0.51,0.11,0.24,2.3,16.5,9.3,23.9,1.7,1.0,16.9,18.8,,1.0,3.0,4.0,0.08,,-0.9,0.9,0.0,1.1
2017,25,2924,POR,Portland Trail Blazers,28.0,NBA,SF,65.0,1658.0,11.4,0.49,0.21,0.19,2.4,14.2,8.3,18.4,1.6,1.2,14.3,18.5,,0.0,1.2,1.2,0.04,,-2.3,-0.1,-2.5,-0.2
2018,25,2924,POR,Portland Trail Blazers,29.0,NBA,SF,79.0,2034.0,9.9,0.52,0.23,0.18,1.6,11.4,6.5,12.4,1.1,1.2,13.7,15.6,,0.5,2.1,2.6,0.06,,-2.9,0.4,-2.5,-0.3
2019,25,2924,POR,Portland Trail Blazers,30.0,NBA,PG,73.0,1605.0,11.6,0.5,0.12,0.24,2.5,18.9,10.9,23.6,1.0,0.9,18.9,15.9,,0.5,1.5,2.0,0.06,,-1.8,0.5,-1.3,0.3
2020,1,2924,ATL,Atlanta Hawks,31.0,NBA,SG,19.0,251.0,6.8,0.42,0.08,0.21,3.4,13.0,8.2,20.6,1.7,2.7,26.2,16.4,,-0.5,0.1,-0.3,-0.06,,-4.9,-0.7,-5.6,-0.2
