Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1993,25.0,GSW,NBA,SF,5.0,1.0,78.0,3.7,15.5,0.24,0.0,0.0,,3.7,15.5,0.24,5.6,7.4,0.75,3.1,5.6,8.7,2.5,0.6,0.6,4.3,3.7,13.0,,76.0,113.0
1995,27.0,MIN,NBA,SF,59.0,2.0,852.0,7.2,14.6,0.494,0.3,1.6,0.192,6.9,13.0,0.531,3.9,5.9,0.656,2.3,3.5,5.8,3.3,2.2,2.0,2.8,7.0,18.6,,104.0,112.0
