Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,23.0,1528,PHI,Philadelphia 76Ers,29.0,NBA,C,80.0,80.0,2771.0,3.9,8.9,0.44,0.0,0.0,0.0,3.9,8.9,0.44,2.1,3.0,0.7,3.7,12.3,16.0,2.8,0.7,2.7,3.7,5.0,9.9,,90.0,98.0
1981,23.0,1528,PHI,Philadelphia 76Ers,30.0,NBA,C,81.0,81.0,2639.0,3.8,8.5,0.45,0.0,0.0,,3.8,8.5,0.45,2.6,3.4,0.77,3.5,10.8,14.3,2.1,0.9,2.4,3.0,4.8,10.3,,98.0,97.0
1982,23.0,1528,PHI,Philadelphia 76Ers,31.0,NBA,C,81.0,47.0,2446.0,4.5,9.1,0.5,0.0,0.1,0.0,4.5,9.0,0.5,3.5,4.3,0.82,3.2,10.6,13.8,2.0,0.7,2.8,3.0,5.9,12.5,,104.0,102.0
1983,11.0,1528,HOU,Houston Rockets,32.0,NBA,C,82.0,82.0,2440.0,5.9,13.0,0.45,0.0,0.0,0.0,5.9,13.0,0.46,3.1,4.0,0.79,4.3,8.6,12.9,2.7,0.9,2.5,3.3,5.4,14.9,,98.0,106.0
1984,11.0,1528,HOU,Houston Rockets,33.0,NBA,C,81.0,73.0,2506.0,5.8,11.6,0.5,0.0,0.1,0.33,5.8,11.5,0.5,3.0,3.6,0.84,3.1,7.6,10.6,2.9,0.8,1.5,2.9,6.1,14.7,,106.0,108.0
1985,5.0,1528,CHI,Chicago Bulls,34.0,NBA,C,42.0,32.0,885.0,2.9,6.3,0.46,0.0,0.1,0.0,2.9,6.2,0.47,2.0,2.6,0.77,2.7,8.8,11.5,1.9,0.7,1.7,2.2,6.8,7.8,,101.0,109.0
1986,25.0,1528,POR,Portland Trail Blazers,35.0,NBA,C,80.0,19.0,1437.0,4.0,8.1,0.5,0.0,0.2,0.0,4.0,7.9,0.51,4.0,4.8,0.83,3.4,8.0,11.3,2.4,1.2,2.0,3.3,7.8,12.0,,106.0,107.0
1987,25.0,1528,POR,Portland Trail Blazers,36.0,NBA,PF,78.0,37.0,1578.0,3.2,6.5,0.5,0.0,0.1,0.0,3.2,6.4,0.5,2.8,3.6,0.78,3.3,9.9,13.2,1.9,0.7,2.2,2.5,6.6,9.2,,106.0,107.0
1988,25.0,1528,POR,Portland Trail Blazers,37.0,NBA,C,79.0,77.0,1778.0,3.3,6.9,0.49,0.0,0.1,0.0,3.3,6.7,0.49,2.0,2.8,0.74,2.7,7.9,10.6,2.1,0.8,2.6,2.1,6.5,8.7,,104.0,106.0
1989,25.0,1528,POR,Portland Trail Blazers,38.0,NBA,PF,72.0,40.0,1279.0,2.8,6.6,0.42,0.0,0.0,0.0,2.8,6.6,0.42,1.7,2.2,0.79,3.2,7.7,10.8,2.1,0.9,3.1,3.0,6.0,7.3,,90.0,107.0
1990,27.0,1528,SAS,San Antonio Spurs,39.0,NBA,PF,72.0,2.0,885.0,3.7,7.9,0.46,0.1,0.3,0.2,3.6,7.7,0.48,2.1,3.0,0.7,4.2,8.5,12.7,1.1,1.1,1.5,2.6,8.0,9.5,,99.0,104.0
