Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1986,NYK,Patrick Ewing,1,36.0,78,0.462,ROY
1986,SEA,Xavier McDaniel,2,16.5,78,0.212,ROY
1986,UTA,Karl Malone,3,14.5,78,0.186,ROY
1986,ATL,Spud Webb,4,4.0,78,0.051,ROY
1986,WSB,Manute Bol,5T,3.0,78,0.038,ROY
1986,CHI,Charles Oakley,5T,3.0,78,0.038,ROY
1986,LAC,Benoit Benjamin,7,1.0,78,0.013,ROY
