Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,23,704,PHI,Philadelphia 76Ers,23.0,NBA,C,80.0,80.0,2541.0,9.1,17.3,0.52,0.0,0.1,0.0,9.1,17.2,0.53,3.5,5.3,0.65,3.6,9.1,12.7,2.7,0.9,2.6,4.2,6.0,21.6,,101.0,100.0
1981,23,704,PHI,Philadelphia 76Ers,24.0,NBA,C,76.0,76.0,2088.0,9.4,15.5,0.61,0.0,0.0,,9.4,15.5,0.61,4.9,6.8,0.72,2.4,9.8,12.1,2.4,0.8,2.5,4.9,7.0,23.7,,106.0,98.0
1982,23,704,PHI,Philadelphia 76Ers,25.0,NBA,C,48.0,36.0,1124.0,8.8,15.6,0.56,0.0,0.1,0.0,8.8,15.5,0.57,4.8,7.0,0.7,2.9,10.1,12.9,2.3,0.8,2.3,4.1,8.2,22.4,,107.0,102.0
1983,3,704,NJN,New Jersey Nets,26.0,NBA,C,81.0,81.0,2093.0,8.8,14.8,0.6,0.0,0.0,,8.8,14.8,0.6,3.7,5.7,0.65,2.8,6.5,9.3,2.5,1.5,3.4,6.2,8.4,21.4,,96.0,98.0
1984,3,704,NJN,New Jersey Nets,27.0,NBA,C,81.0,80.0,2417.0,9.8,16.5,0.59,0.0,0.1,0.4,9.7,16.4,0.59,6.6,8.9,0.74,3.1,7.4,10.4,2.4,1.2,2.6,4.5,7.4,26.2,,113.0,104.0
1985,3,704,NJN,New Jersey Nets,28.0,NBA,C,39.0,30.0,972.0,9.4,16.6,0.57,0.0,0.0,0.0,9.4,16.5,0.57,7.0,9.8,0.71,2.7,6.2,8.8,2.2,0.7,1.7,4.5,8.4,25.8,,109.0,109.0
1986,3,704,NJN,New Jersey Nets,29.0,NBA,C,51.0,3.0,1207.0,10.9,17.0,0.64,0.0,0.0,0.0,10.9,16.9,0.64,8.1,11.4,0.71,3.3,6.4,9.7,3.0,0.6,2.3,4.8,8.7,29.9,,118.0,107.0
1987,3,704,NJN,New Jersey Nets,30.0,NBA,C,6.0,2.0,106.0,8.9,14.2,0.62,0.0,0.0,,8.9,14.2,0.62,7.6,10.7,0.71,4.0,4.4,8.4,0.9,0.9,1.3,6.7,11.1,25.3,,103.0,112.0
1988,31,704,TOT,Total After Trade,31.0,NBA,C,6.0,0.0,33.0,2.9,13.0,0.22,0.0,0.0,,2.9,13.0,0.22,8.7,21.6,0.4,2.9,4.3,7.2,2.9,0.0,2.9,10.1,20.2,14.4,,55.0,106.0
1988,29,704,UTA,Utah Jazz,31.0,NBA,C,4.0,0.0,26.0,1.8,12.7,0.14,0.0,0.0,,1.8,12.7,0.14,7.3,21.8,0.33,3.6,5.5,9.1,1.8,0.0,1.8,7.3,18.2,10.9,,50.0,107.0
1988,9,704,DET,Detroit Pistons,31.0,NBA,C,2.0,0.0,7.0,7.0,13.9,0.5,0.0,0.0,,7.0,13.9,0.5,13.9,20.9,0.67,0.0,0.0,0.0,7.0,0.0,7.0,20.9,27.9,27.9,,68.0,106.0
1989,9,704,DET,Detroit Pistons,32.0,NBA,C,14.0,0.0,48.0,9.4,19.9,0.47,0.0,0.0,,9.4,19.9,0.47,9.4,18.9,0.5,3.1,4.2,7.3,1.0,0.0,1.0,4.2,13.6,28.3,,97.0,109.0
