SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,12,IND,Derrick McKey,27,16,16,587,3.6,8.7,0.41,0.5,1.5,0.33,3.1,7.2,0.42,1.9,2.9,0.66,2.0,4.0,6.0,4.1,1.6,0.6,2.5,3.6,9.5
1994,12,IND,Dale Davis,24,16,16,578,3.5,6.6,0.53,0.0,0.1,0.0,3.5,6.5,0.53,0.7,2.2,0.31,3.9,6.0,9.9,0.7,1.1,1.1,1.9,3.2,7.7
1994,12,IND,Reggie Miller,28,16,16,576,7.6,16.9,0.45,2.2,5.2,0.42,5.4,11.7,0.46,5.9,7.0,0.84,0.7,2.3,3.0,2.9,1.3,0.2,2.0,2.1,23.2
1994,12,IND,Haywoode Workman,28,16,15,511,3.2,9.2,0.34,0.4,1.5,0.29,2.7,7.7,0.36,2.3,2.7,0.84,0.8,2.8,3.6,7.9,2.0,0.1,2.7,2.8,9.0
1994,12,IND,Rik Smits,27,16,16,450,8.2,17.4,0.47,0.0,0.0,,8.2,17.4,0.47,4.0,5.0,0.81,1.8,4.9,6.7,2.5,0.8,0.7,3.4,5.1,20.5
1994,12,IND,Antonio Davis,25,16,0,401,4.3,8.0,0.54,0.1,0.1,1.0,4.2,7.9,0.53,3.4,6.1,0.56,3.3,6.2,9.5,0.6,1.0,1.6,2.0,4.2,12.1
1994,12,IND,Vern Fleming,31,16,1,247,5.7,11.1,0.51,0.0,0.7,0.0,5.7,10.3,0.55,2.5,2.9,0.85,1.7,1.3,3.1,5.5,1.5,0.1,3.2,3.9,13.8
1994,12,IND,Byron Scott,32,16,0,239,5.7,14.5,0.4,1.4,2.9,0.47,4.4,11.6,0.38,6.0,7.7,0.78,1.5,3.5,5.0,3.0,1.8,0.3,3.8,3.3,18.8
1994,12,IND,Sam Mitchell,30,15,0,99,3.3,9.5,0.35,0.0,0.4,0.0,3.3,9.1,0.36,1.1,1.5,0.75,1.8,4.4,6.2,1.8,0.7,0.7,1.5,8.0,7.6
1994,12,IND,Kenny Williams,24,12,0,91,3.6,9.9,0.36,0.0,0.0,,3.6,9.9,0.36,0.8,0.8,1.0,2.4,4.4,6.7,2.0,2.0,1.2,2.0,7.1,7.9
1994,12,IND,LaSalle Thompson,32,7,0,39,3.7,10.2,0.36,0.0,0.0,,3.7,10.2,0.36,1.8,2.8,0.67,2.8,6.5,9.2,4.6,2.8,0.9,3.7,8.3,9.2
1994,12,IND,Lester Conner,34,6,0,22,3.3,8.2,0.4,0.0,0.0,,3.3,8.2,0.4,3.3,3.3,1.0,1.6,4.9,6.5,0.0,1.6,0.0,0.0,3.3,9.8
