SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,8,DEN,Dikembe Mutombo,27,12,12,511,3.5,7.6,0.46,0.0,0.0,,3.5,7.6,0.46,4.2,6.9,0.6,2.8,7.3,10.1,1.5,0.6,4.9,2.1,3.0,11.2
1994,8,DEN,LaPhonso Ellis,23,12,12,436,5.6,11.7,0.48,0.2,0.5,0.5,5.4,11.2,0.48,3.1,4.5,0.7,2.2,5.8,8.0,2.1,0.7,0.9,1.6,3.8,14.6
1994,8,DEN,Bryant Stith,23,12,12,413,3.7,8.9,0.42,0.0,0.1,0.0,3.7,8.8,0.43,4.4,5.2,0.83,2.0,2.9,4.9,2.3,1.0,0.2,1.2,2.0,11.9
1994,8,DEN,Reggie Williams,29,12,12,405,5.5,13.2,0.42,1.8,4.4,0.4,3.7,8.8,0.42,2.4,3.1,0.77,1.6,3.8,5.4,3.7,0.8,1.1,2.5,4.7,15.2
1994,8,DEN,Mahmoud Abdul-Rauf,24,12,12,339,6.1,16.4,0.37,1.3,3.9,0.32,4.8,12.4,0.38,3.1,3.3,0.94,0.3,1.6,1.9,3.2,0.5,0.1,1.5,3.1,16.5
1994,8,DEN,Robert Pack,24,12,0,332,5.2,12.8,0.41,0.7,2.2,0.3,4.6,10.6,0.43,4.2,6.0,0.71,0.5,2.5,3.0,5.5,2.0,0.7,5.0,4.4,15.3
1994,8,DEN,Bison Dele,24,12,0,289,5.2,9.5,0.55,0.0,0.0,,5.2,9.5,0.55,3.4,5.1,0.66,4.1,7.0,11.1,1.4,0.5,1.4,2.1,4.5,13.8
1994,8,DEN,Rodney Rogers,22,12,0,190,3.6,9.3,0.39,1.1,3.6,0.32,2.5,5.7,0.43,3.2,5.1,0.63,1.5,2.5,4.0,3.0,1.3,1.1,1.5,4.7,11.6
1994,8,DEN,Tom Hammonds,26,8,0,49,1.5,6.6,0.22,0.0,0.0,,1.5,6.6,0.22,3.7,4.4,0.83,3.7,5.9,9.6,1.5,0.0,0.0,0.7,4.4,6.6
1994,8,DEN,Darnell Mee,22,3,0,30,3.6,7.2,0.5,1.2,4.8,0.25,2.4,2.4,1.0,0.0,0.0,,0.0,2.4,2.4,2.4,3.6,0.0,3.6,4.8,8.4
1994,8,DEN,Mark Randall,26,2,0,6,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,,6.0,24.0,30.0,0.0,0.0,6.0,6.0,6.0,0.0
1994,8,DEN,Kevin Brooks,24,2,0,5,14.4,50.4,0.29,0.0,7.2,0.0,14.4,43.2,0.33,7.2,14.4,0.5,7.2,7.2,14.4,0.0,0.0,0.0,0.0,0.0,36.0
