Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,31,483,TOT,Total After Trade,Matt Carroll,1980-08-28,23.0,NBA,SG,16.0,0.0,4.4,0.4,1.0,0.44,0.1,0.2,0.33,0.4,0.8,0.46,0.47,0.3,0.4,0.67,0.1,0.3,0.4,0.1,0.1,0.0,0.4,0.5,1.2
2004,25,483,POR,Portland Trail Blazers,Matt Carroll,1980-08-28,23.0,NBA,SG,13.0,0.0,3.7,0.4,0.8,0.46,0.1,0.2,0.33,0.3,0.6,0.5,0.5,0.2,0.2,1.0,0.0,0.2,0.2,0.1,0.0,0.0,0.2,0.2,1.0
2004,27,483,SAS,San Antonio Spurs,Matt Carroll,1980-08-28,23.0,NBA,SG,3.0,0.0,7.3,0.7,1.7,0.4,0.0,0.0,,0.7,1.7,0.4,0.4,0.7,1.3,0.5,0.3,0.7,1.0,0.3,0.3,0.0,1.3,1.7,2.0
2005,4,483,CHA,Charlotte Bobcats,Matt Carroll,1980-08-28,24.0,NBA,SG,25.0,0.0,17.2,2.8,7.2,0.39,0.5,1.6,0.33,2.3,5.6,0.4,0.42,2.8,3.3,0.86,0.5,1.9,2.4,0.7,0.7,0.1,1.0,1.5,9.0
2006,4,483,CHA,Charlotte Bobcats,Matt Carroll,1980-08-28,25.0,NBA,SG,78.0,6.0,16.3,2.5,6.1,0.4,0.9,2.4,0.39,1.5,3.7,0.41,0.48,1.8,2.2,0.82,0.4,1.6,2.0,0.4,0.6,0.1,0.6,1.5,7.6
2007,4,483,CHA,Charlotte Bobcats,Matt Carroll,1980-08-28,26.0,NBA,SG,72.0,47.0,26.1,4.0,9.1,0.43,1.5,3.7,0.42,2.4,5.4,0.44,0.52,2.6,2.9,0.9,0.5,2.4,2.9,1.3,0.7,0.1,1.0,2.4,12.1
2008,4,483,CHA,Charlotte Bobcats,Matt Carroll,1980-08-28,27.0,NBA,SG,80.0,18.0,25.2,3.2,7.4,0.43,1.3,3.0,0.44,1.8,4.4,0.42,0.52,1.4,1.7,0.8,0.4,2.4,2.8,0.9,0.6,0.2,0.7,2.3,9.0
2009,31,483,TOT,Total After Trade,Matt Carroll,1980-08-28,28.0,NBA,SG,55.0,10.0,11.2,1.2,3.1,0.38,0.2,1.0,0.24,0.9,2.1,0.44,0.42,0.4,0.5,0.84,0.1,1.1,1.3,0.5,0.4,0.1,0.6,1.2,3.0
2009,4,483,CHA,Charlotte Bobcats,Matt Carroll,1980-08-28,28.0,NBA,SG,34.0,10.0,14.0,1.6,4.1,0.41,0.4,1.3,0.27,1.3,2.7,0.47,0.45,0.4,0.6,0.79,0.1,1.5,1.6,0.7,0.5,0.1,0.8,1.6,4.1
2009,7,483,DAL,Dallas Mavericks,Matt Carroll,1980-08-28,28.0,NBA,SG,21.0,0.0,6.7,0.4,1.6,0.27,0.0,0.4,0.12,0.4,1.2,0.32,0.29,0.3,0.3,1.0,0.1,0.6,0.7,0.1,0.1,0.0,0.3,0.7,1.2
2010,7,483,DAL,Dallas Mavericks,Matt Carroll,1980-08-28,29.0,NBA,SG,25.0,0.0,4.8,0.7,2.0,0.36,0.2,0.8,0.21,0.6,1.2,0.45,0.4,0.2,0.2,1.0,0.2,0.3,0.5,0.2,0.2,0.0,0.3,0.5,1.8
2011,4,483,CHA,Charlotte Bobcats,Matt Carroll,1980-08-28,30.0,NBA,SG,54.0,1.0,10.8,1.6,3.7,0.45,0.3,0.9,0.37,1.3,2.8,0.47,0.49,0.7,1.0,0.77,0.2,1.0,1.3,0.4,0.3,0.1,0.4,0.8,4.4
2012,4,483,CHA,Charlotte Bobcats,Matt Carroll,1980-08-28,31.0,NBA,SG,53.0,2.0,11.2,1.0,3.0,0.33,0.2,0.8,0.19,0.8,2.2,0.39,0.36,0.6,0.7,0.79,0.2,0.9,1.1,0.7,0.3,0.1,0.5,1.0,2.7
2013,4,483,CHA,Charlotte Bobcats,Matt Carroll,1980-08-28,32.0,NBA,SG,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
