Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1982,31,2897,TOT,Total After Trade,Ray Tolbert,1958-09-10,23.0,NBA,PF,64.0,0.0,607.0,7.9,15.9,0.5,0.0,0.2,0.0,7.9,15.7,0.5,1.5,2.8,0.54,3.9,6.0,9.9,2.6,0.9,1.3,3.5,6.5,17.2,96.0,104.0
1982,3,2897,NJN,New Jersey Nets,Ray Tolbert,1958-09-10,23.0,NBA,PF,12.0,0.0,115.0,8.1,17.8,0.46,0.0,0.4,0.0,8.1,17.4,0.46,1.6,3.2,0.5,4.5,6.5,10.9,3.2,1.6,0.8,4.9,7.7,17.8,88.0,103.0
1982,21,2897,SEA,Seattle Supersonics,Ray Tolbert,1958-09-10,23.0,NBA,PF,52.0,0.0,492.0,7.8,15.4,0.51,0.0,0.1,0.0,7.8,15.3,0.51,1.5,2.6,0.56,3.8,5.9,9.7,2.4,0.8,1.4,3.2,6.2,17.1,99.0,104.0
1983,31,2897,TOT,Total After Trade,Ray Tolbert,1958-09-10,24.0,NBA,PF,73.0,2.0,1107.0,6.5,13.1,0.5,0.0,0.1,0.0,6.5,12.9,0.5,2.2,4.3,0.5,3.0,7.1,10.1,2.1,1.1,2.0,3.5,6.4,15.2,94.0,103.0
1983,21,2897,SEA,Seattle Supersonics,Ray Tolbert,1958-09-10,24.0,NBA,PF,45.0,2.0,712.0,6.5,12.4,0.53,0.0,0.1,0.0,6.5,12.3,0.53,1.6,2.9,0.55,3.0,6.9,9.9,2.0,1.0,1.6,3.3,6.3,14.6,96.0,103.0
1983,9,2897,DET,Detroit Pistons,Ray Tolbert,1958-09-10,24.0,NBA,PF,28.0,0.0,395.0,6.5,14.2,0.46,0.0,0.1,0.0,6.5,14.1,0.46,3.2,6.8,0.48,3.0,7.5,10.4,2.2,1.1,2.6,3.7,6.4,16.3,90.0,104.0
1984,9,2897,DET,Detroit Pistons,Ray Tolbert,1958-09-10,25.0,NBA,PF,49.0,0.0,475.0,6.2,11.8,0.53,0.0,0.1,0.0,6.2,11.7,0.53,2.2,4.4,0.51,4.4,5.2,9.5,2.5,1.2,1.9,2.5,8.6,14.7,108.0,108.0
1988,31,2897,TOT,Total After Trade,Ray Tolbert,1958-09-10,29.0,NBA,PF,25.0,0.0,259.0,6.5,12.9,0.51,0.0,0.0,,6.5,12.9,0.51,3.6,5.6,0.63,4.3,6.0,10.3,1.9,1.5,0.9,3.9,7.3,16.6,100.0,107.0
1988,20,2897,NYK,New York Knicks,Ray Tolbert,1958-09-10,29.0,NBA,PF,11.0,0.0,177.0,5.2,11.2,0.46,0.0,0.0,,5.2,11.2,0.46,2.5,4.7,0.53,3.8,5.7,9.6,1.4,1.4,0.5,2.7,6.8,12.9,96.0,108.0
1988,14,2897,LAL,Los Angeles Lakers,Ray Tolbert,1958-09-10,29.0,NBA,PF,14.0,0.0,82.0,9.5,16.5,0.57,0.0,0.0,,9.5,16.5,0.57,5.9,7.7,0.77,5.3,6.5,11.8,3.0,1.8,1.8,6.5,8.3,24.8,104.0,106.0
1989,1,2897,ATL,Atlanta Hawks,Ray Tolbert,1958-09-10,30.0,NBA,PF,50.0,0.0,341.0,5.7,13.5,0.43,0.0,0.0,,5.7,13.5,0.43,3.3,5.3,0.62,4.4,8.2,12.6,2.3,1.9,1.9,5.0,7.9,14.7,87.0,105.0
