Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1983,8,2568,DEN,Denver Nuggets,23.0,NBA,C,8.0,,163.0,5.6,11.5,0.49,0.0,0.0,,5.6,11.5,0.49,4.0,4.0,1.0,3.0,7.8,10.7,3.8,0.5,1.3,4.6,6.7,15.3,,97.0,110.0
1984,8,2568,DEN,Denver Nuggets,24.0,NBA,C,5.0,,81.0,6.1,10.1,0.61,0.0,0.0,,6.1,10.1,0.61,3.4,4.5,0.75,1.7,11.7,13.4,2.2,2.2,1.7,3.9,11.2,15.6,,105.0,109.0
1985,8,2568,DEN,Denver Nuggets,25.0,NBA,C,9.0,0.0,118.0,4.1,9.7,0.42,0.0,0.0,,4.1,9.7,0.42,5.2,7.5,0.7,3.0,8.2,11.2,4.5,1.1,1.5,1.9,8.2,13.5,,114.0,109.0
1986,8,2568,DEN,Denver Nuggets,26.0,NBA,C,10.0,6.0,295.0,7.3,13.6,0.54,0.0,0.0,,7.3,13.6,0.54,3.8,4.8,0.8,5.4,7.6,13.0,1.4,0.6,2.7,3.3,5.9,18.4,,111.0,110.0
1987,8,2568,DEN,Denver Nuggets,27.0,NBA,C,3.0,0.0,75.0,7.1,10.0,0.71,0.0,0.0,,7.1,10.0,0.71,3.5,5.3,0.67,3.5,6.5,10.0,1.2,0.6,1.2,1.8,5.9,17.7,,130.0,126.0
1988,8,2568,DEN,Denver Nuggets,28.0,NBA,PF,11.0,11.0,314.0,8.5,13.6,0.62,0.0,0.0,,8.5,13.6,0.62,10.8,12.8,0.84,4.6,7.5,12.2,2.8,0.5,1.5,3.7,7.1,27.7,,133.0,114.0
1989,8,2568,DEN,Denver Nuggets,29.0,NBA,C,2.0,0.0,36.0,1.2,8.7,0.14,0.0,0.0,,1.2,8.7,0.14,7.4,9.9,0.75,2.5,11.2,13.6,1.2,1.2,1.2,1.2,5.0,9.9,,90.0,110.0
1991,17,2568,MIL,Milwaukee Bucks,31.0,NBA,C,3.0,3.0,71.0,6.5,16.6,0.39,0.0,0.7,0.0,6.5,15.8,0.41,7.2,7.9,0.91,2.9,5.8,8.6,2.2,2.2,0.7,4.3,5.8,20.2,,95.0,114.0
1995,24,2568,PHO,Phoenix Suns,35.0,NBA,C,10.0,0.0,146.0,3.9,10.3,0.38,0.0,0.4,0.0,3.9,9.9,0.39,2.5,2.8,0.88,1.4,5.7,7.1,2.8,1.1,1.1,2.8,13.5,10.3,,89.0,114.0
1996,16,2568,MIA,Miami Heat,36.0,NBA,C,2.0,0.0,17.0,9.4,12.5,0.75,0.0,0.0,,9.4,12.5,0.75,3.1,6.2,0.5,6.2,6.2,12.5,0.0,0.0,0.0,6.2,3.1,21.9,,100.0,121.0
1997,22,2568,ORL,Orlando Magic,37.0,NBA,PF,5.0,2.0,92.0,5.5,14.1,0.39,0.0,0.0,,5.5,14.1,0.39,2.5,2.5,1.0,2.5,4.9,7.4,3.1,1.2,0.6,2.5,9.8,13.5,,92.0,111.0
1999,22,2568,ORL,Orlando Magic,39.0,NBA,C,1.0,0.0,8.0,0.0,6.9,0.0,0.0,0.0,,0.0,6.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,117.0
