SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
2019,9,DET,Luke Kennard,22,4,133,13.9,0.6,0.32,0.13,0.0,14.0,6.0,8.7,1.1,0.7,5.7,16.6,,0.2,-0.1,0.1,0.04,,1.3,-0.7,0.6,0.1
2019,9,DET,Wayne Ellington,31,4,131,5.7,0.43,0.63,0.06,2.0,10.7,5.8,5.5,1.1,0.0,5.3,12.1,,-0.1,-0.1,-0.2,-0.06,,-3.5,-2.2,-5.7,-0.1
2019,9,DET,Andre Drummond,25,4,127,15.6,0.45,0.02,0.39,13.9,29.3,20.6,12.0,2.2,3.6,14.8,24.5,,-0.2,0.1,-0.1,-0.04,,-1.9,-1.0,-2.9,0.0
2019,9,DET,Langston Galloway,27,4,110,6.7,0.46,0.74,0.0,1.6,13.8,6.9,5.3,0.9,3.3,5.6,13.7,,-0.1,0.0,-0.1,-0.05,,-2.5,-1.0,-3.5,0.0
2019,9,DET,Reggie Jackson,28,4,108,21.4,0.52,0.32,0.11,4.1,8.6,6.1,49.7,1.3,0.0,6.8,28.4,,0.2,-0.1,0.2,0.07,,6.7,-0.3,6.4,0.2
2019,9,DET,Ish Smith,30,4,81,3.7,0.3,0.18,0.1,1.1,14.4,6.8,26.3,1.8,1.1,9.1,22.6,,-0.3,0.0,-0.3,-0.2,,-5.9,-1.9,-7.8,-0.1
2019,9,DET,Thon Maker,21,4,69,3.5,0.37,0.46,0.35,5.1,8.4,6.6,8.5,0.0,5.3,9.1,20.0,,-0.2,0.0,-0.2,-0.13,,-7.8,-1.6,-9.4,-0.1
2019,9,DET,Blake Griffin,29,2,58,25.3,0.58,0.33,0.18,6.1,16.1,10.4,43.9,1.6,0.0,12.5,34.7,,0.1,0.0,0.1,0.09,,9.5,0.4,10.0,0.2
2019,9,DET,Bruce Brown,22,4,57,4.6,0.44,0.36,0.14,1.6,14.3,7.1,5.1,1.7,1.6,11.8,12.4,,-0.1,0.0,-0.1,-0.06,,-6.2,-0.3,-6.4,-0.1
2019,9,DET,Glenn Robinson,25,3,36,7.5,0.39,0.53,0.27,4.9,16.2,9.8,8.3,2.6,0.0,5.6,20.7,,-0.1,0.0,-0.1,-0.08,,-4.7,-0.4,-5.1,0.0
2019,9,DET,Zaza Pachulia,34,2,22,2.4,0.36,0.0,0.33,4.0,42.3,20.6,0.0,0.0,0.0,12.7,15.0,,-0.1,0.0,-0.1,-0.13,,-7.7,-3.3,-11.0,0.0
2019,9,DET,Khyri Thomas,22,3,15,30.4,0.56,0.33,0.08,0.0,15.5,6.7,0.0,6.3,0.0,0.0,34.8,,0.0,0.0,0.0,0.09,,6.9,4.6,11.5,0.1
2019,9,DET,JosA CalderAn,37,3,10,21.4,,,,0.0,0.0,0.0,64.0,4.7,0.0,,0.0,,0.0,0.0,0.0,0.18,,5.0,5.8,10.8,0.0
2019,9,DET,Jon Leuer,29,1,5,0.5,0.41,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,,0.0,0.0,0.0,-0.18,,-7.6,-3.8,-11.3,0.0
