SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1995,24,PHO,Charles Barkley,31,10,10,39.0,9.1,18.2,0.5,0.9,3.5,0.26,8.2,14.7,0.56,0.52,6.6,9.0,0.73,3.9,9.5,13.4,3.2,1.3,1.1,2.5,2.8,25.7
1995,24,PHO,Kevin Johnson,28,10,10,37.1,8.6,15.0,0.57,0.5,1.0,0.5,8.1,14.0,0.58,0.59,7.1,8.4,0.84,0.7,3.4,4.1,9.3,0.9,0.4,3.4,2.5,24.8
1995,24,PHO,A.C. Green,31,10,10,36.8,3.6,7.8,0.46,0.1,1.2,0.08,3.5,6.6,0.53,0.47,5.5,6.3,0.87,3.8,8.2,12.0,1.3,0.6,0.2,1.0,2.2,12.8
1995,24,PHO,Dan Majerle,29,10,0,30.7,2.7,7.3,0.37,1.6,4.4,0.36,1.1,2.9,0.38,0.48,1.2,1.7,0.71,0.8,2.3,3.1,1.7,1.4,0.3,0.9,2.4,8.2
1995,24,PHO,Wesley Person,23,10,10,24.7,3.4,8.3,0.41,1.7,4.5,0.38,1.7,3.8,0.45,0.51,1.1,1.2,0.92,0.9,1.2,2.1,1.1,0.3,0.2,0.9,1.9,9.6
1995,24,PHO,Wayman Tisdale,30,10,0,17.0,3.2,7.1,0.45,0.0,0.1,0.0,3.2,7.0,0.46,0.45,0.9,1.4,0.64,0.6,2.4,3.0,1.1,0.0,0.4,0.6,3.2,7.3
1995,24,PHO,Joe Kleine,33,10,10,16.7,3.1,5.4,0.57,0.1,0.2,0.5,3.0,5.2,0.58,0.58,0.0,0.0,,0.8,2.3,3.1,0.8,0.5,0.3,0.6,3.5,6.3
1995,24,PHO,Danny Schayes,35,10,0,14.6,1.1,2.9,0.38,0.0,0.1,0.0,1.1,2.8,0.39,0.38,0.7,0.8,0.88,0.4,1.6,2.0,0.8,0.3,0.3,0.8,3.8,2.9
1995,24,PHO,Danny Ainge,35,10,0,13.7,1.9,3.8,0.5,1.2,2.6,0.46,0.7,1.2,0.58,0.66,1.0,1.1,0.91,0.2,0.8,1.0,1.0,0.5,0.0,0.6,1.5,6.0
1995,24,PHO,Elliot Perry,25,9,0,11.8,2.2,4.7,0.48,0.2,0.6,0.4,2.0,4.1,0.49,0.5,2.2,2.8,0.8,0.3,0.8,1.1,1.3,0.6,0.0,1.0,0.9,6.9
1995,24,PHO,Trevor Ruffin,24,5,0,2.2,0.8,1.6,0.5,0.2,0.8,0.25,0.6,0.8,0.75,0.56,0.2,1.0,0.2,0.0,0.6,0.6,0.4,0.2,0.0,0.0,0.0,2.0
1995,24,PHO,Richard Dumas,25,3,0,1.7,0.3,1.3,0.25,0.0,0.0,,0.3,1.3,0.25,0.25,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.7
