PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Horace Grant,29,21,21,41.4,5.8,10.7,0.54,0.0,0.1,0.0,5.8,10.6,0.545,0.54,2.1,2.8,0.763,3.5,6.9,10.4,1.9,1.0,1.1,1.2,3.2,13.7
Anfernee Hardaway,23,21,21,40.4,6.9,14.5,0.47200000000000003,1.9,4.7,0.40399999999999997,5.0,9.8,0.505,0.5379999999999999,4.0,5.3,0.757,1.4,2.3,3.8,7.7,1.9,0.7,3.5,3.3,19.6
Nick Anderson,27,21,21,38.8,5.1,11.4,0.44799999999999995,2.0,5.1,0.38299999999999995,3.1,6.3,0.5,0.5329999999999999,2.0,3.0,0.6829999999999999,1.0,3.8,4.8,3.1,1.6,0.5,1.4,2.3,14.2
Shaquille O'Neal,22,21,21,38.3,9.3,16.1,0.5770000000000001,0.0,0.0,,9.3,16.1,0.5770000000000001,0.5770000000000001,7.1,12.4,0.5710000000000001,4.5,7.4,11.9,3.3,0.9,1.9,3.5,4.0,25.7
Dennis Scott,26,21,15,35.5,5.2,12.6,0.413,2.7,7.2,0.371,2.5,5.4,0.469,0.519,1.6,1.9,0.85,0.4,2.6,3.0,2.1,1.0,0.2,1.6,3.0,14.7
Brian Shaw,28,21,0,16.9,2.3,5.9,0.39,1.0,2.7,0.386,1.2,3.1,0.39399999999999996,0.48,1.0,1.5,0.625,0.8,2.1,3.0,3.1,0.5,0.2,1.2,2.3,6.6
Donald Royal,28,18,6,11.0,0.6,1.8,0.33299999999999996,0.0,0.0,,0.6,1.8,0.33299999999999996,0.33299999999999996,0.8,1.1,0.75,0.3,0.7,1.1,0.5,0.2,0.0,0.7,1.2,2.1
Jeff Turner,32,18,0,9.9,0.9,2.2,0.425,0.6,1.2,0.5,0.3,1.0,0.33299999999999996,0.563,0.2,0.2,1.0,0.2,1.2,1.4,0.6,0.2,0.2,0.3,2.4,2.7
Anthony Bowie,31,17,0,6.9,1.2,2.5,0.5,0.3,0.4,0.7140000000000001,0.9,2.1,0.457,0.56,0.5,0.5,0.889,0.2,0.5,0.7,1.1,0.1,0.1,0.5,1.4,3.2
Tree Rollins,39,14,0,5.8,0.2,0.4,0.6,0.0,0.0,,0.2,0.4,0.6,0.6,0.1,0.3,0.25,0.3,0.1,0.4,0.0,0.0,0.4,0.3,1.4,0.5
Anthony Avent,25,7,0,5.7,0.4,1.0,0.429,0.0,0.1,0.0,0.4,0.9,0.5,0.429,0.4,0.6,0.75,0.6,0.6,1.1,0.0,0.0,0.1,0.3,1.6,1.3
Brooks Thompson,24,3,0,3.7,1.0,1.3,0.75,1.0,1.3,0.75,0.0,0.0,,1.125,1.0,1.3,0.75,0.3,0.3,0.7,1.0,0.0,0.3,0.7,0.3,4.0
