Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2005,2,55,BOS,Boston Celtics,23.0,NBA,SG,7.0,90.0,4.8,0.45,0.0,0.39,5.5,10.9,8.2,3.8,1.9,2.0,19.2,14.2,,-0.1,0.1,0.0,0.01,,-6.3,-0.3,-6.6,-0.1
2008,2,55,BOS,Boston Celtics,26.0,NBA,SG,15.0,65.0,10.8,0.55,0.06,0.31,2.0,3.8,2.9,8.2,1.7,0.0,5.2,14.2,,0.1,0.1,0.1,0.1,,-2.2,1.0,-1.2,0.0
2009,2,55,BOS,Boston Celtics,27.0,NBA,SG,10.0,60.0,7.9,0.53,0.0,0.12,1.9,16.2,8.9,7.4,1.8,0.0,10.6,7.3,,0.0,0.1,0.1,0.08,,-3.7,1.6,-2.1,0.0
2010,2,55,BOS,Boston Celtics,28.0,NBA,SG,24.0,391.0,11.2,0.54,0.05,0.37,4.2,8.5,6.4,7.4,3.4,3.1,16.8,16.7,,-0.1,0.9,0.8,0.1,,-2.7,3.5,0.8,0.3
2011,15,55,MEM,Memphis Grizzlies,29.0,NBA,SG,13.0,350.0,10.7,0.48,0.07,0.41,4.8,7.7,6.2,9.3,3.8,1.2,16.8,18.6,,-0.2,0.4,0.2,0.03,,-3.1,2.2,-0.9,0.1
2012,15,55,MEM,Memphis Grizzlies,30.0,NBA,SG,7.0,170.0,9.9,0.46,0.11,0.38,5.6,10.4,7.9,5.2,2.9,3.6,16.0,17.0,,-0.1,0.3,0.2,0.06,,-2.8,2.7,-0.1,0.1
2013,15,55,MEM,Memphis Grizzlies,31.0,NBA,SG,15.0,422.0,17.7,0.51,0.06,0.46,9.9,16.2,12.9,11.3,3.9,1.0,11.2,18.7,,0.6,0.7,1.3,0.15,,0.4,3.9,4.2,0.7
2014,15,55,MEM,Memphis Grizzlies,32.0,NBA,SG,7.0,230.0,15.6,0.53,0.1,0.29,10.7,15.8,13.1,7.6,2.8,0.4,12.9,18.6,,0.2,0.3,0.5,0.1,,-0.1,2.2,2.1,0.2
2015,15,55,MEM,Memphis Grizzlies,33.0,NBA,SG,10.0,279.0,14.2,0.53,0.12,0.21,5.4,15.3,10.3,8.3,4.5,3.6,17.3,12.3,,0.1,0.6,0.6,0.11,,-1.2,5.1,3.9,0.4
2016,15,55,MEM,Memphis Grizzlies,34.0,NBA,SG,4.0,94.0,6.7,0.39,0.21,0.39,6.4,7.2,6.8,5.7,2.9,1.9,13.4,21.9,,-0.2,0.0,-0.2,-0.1,,-4.1,-0.7,-4.8,-0.1
