PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Kobe Bryant,28,5,215,24.1,0.561,0.215,0.285,0.5,14.3,6.9,20.0,1.2,0.7,13.1,33.9,,0.6,-0.1,0.5,0.121,,6.0,0.1,6.1,0.4
Lamar Odom,27,5,192,20.6,0.508,0.129,0.282,11.1,28.8,19.3,9.9,0.5,2.5,9.5,23.8,,0.4,0.0,0.4,0.095,,2.6,0.0,2.6,0.2
Kwame Brown,24,5,133,11.2,0.5379999999999999,0.0,0.25,10.4,13.9,12.0,1.2,0.4,2.4,18.4,16.0,,0.1,0.0,0.0,0.005,,-2.4,-0.8,-3.2,0.0
Luke Walton,26,5,128,9.4,0.47700000000000004,0.33299999999999996,0.111,7.5,11.5,9.4,14.9,2.8,0.6,28.4,17.9,,-0.1,0.0,-0.1,-0.051,,-1.9,0.8,-1.1,0.0
Jordan Farmar,20,5,114,11.6,0.515,0.35700000000000004,0.25,0.9,14.0,7.0,10.2,2.7,0.7,13.9,13.7,,0.1,0.0,0.1,0.038,,-2.3,2.6,0.3,0.1
Maurice Evans,28,5,82,11.0,0.48100000000000004,0.5,0.0,3.9,7.5,5.6,5.5,1.2,0.0,0.0,13.7,,0.1,0.0,0.1,0.05,,1.1,-0.8,0.3,0.0
Shammond Williams,31,4,80,6.8,0.45,0.4,0.0,2.7,1.5,2.1,12.7,0.0,1.0,9.1,11.9,,0.0,-0.1,0.0,-0.017,,-2.1,-1.3,-3.4,0.0
Smush Parker,25,5,59,3.5,0.305,0.462,0.308,7.2,6.3,6.8,6.7,2.6,1.3,16.9,13.1,,-0.1,0.0,-0.1,-0.079,,-6.0,1.1,-4.8,0.0
Andrew Bynum,19,5,55,16.9,0.515,0.0,0.667,15.4,33.6,23.8,0.0,0.0,2.9,9.3,16.9,,0.1,0.0,0.1,0.08199999999999999,,0.1,-2.0,-1.9,0.0
Brian Cook,26,5,51,4.5,0.466,0.389,0.16699999999999998,4.2,9.7,6.7,0.0,0.0,1.5,9.4,18.1,,0.0,0.0,0.0,-0.019,,-6.0,-2.3,-8.3,-0.1
Ronny Turiaf,24,4,48,14.8,0.462,0.0,0.7140000000000001,13.3,15.4,14.3,3.0,2.1,1.6,5.2,17.5,,0.1,0.0,0.1,0.087,,-0.7,-1.4,-2.1,0.0
Sasha Vujačić,22,4,43,9.3,0.611,0.444,0.0,4.9,5.7,5.3,10.3,1.2,0.0,25.0,12.1,,0.0,0.0,0.0,0.006,,-2.0,-0.4,-2.4,0.0
