Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1984,20,2999,NYK,New York Knicks,22.0,NBA,PG,82.0,0.0,1324.0,216.0,518.0,0.42,4.0,15.0,0.27,212.0,503.0,0.42,0.42,208.0,263.0,0.79,74.0,93.0,167.0,284.0,127.0,15.0,194.0,202.0,644.0,,0.0
1985,20,2999,NYK,New York Knicks,23.0,NBA,PG,82.0,66.0,2489.0,430.0,989.0,0.44,0.0,17.0,0.0,430.0,972.0,0.44,0.44,243.0,347.0,0.7,128.0,150.0,278.0,408.0,167.0,21.0,204.0,244.0,1103.0,,0.0
1986,20,2999,NYK,New York Knicks,24.0,NBA,PG,81.0,35.0,2023.0,324.0,753.0,0.43,0.0,10.0,0.0,324.0,743.0,0.44,0.43,190.0,277.0,0.69,100.0,120.0,220.0,337.0,146.0,36.0,192.0,216.0,838.0,,0.0
1987,8,2999,DEN,Denver Nuggets,25.0,NBA,PG,81.0,25.0,2020.0,358.0,742.0,0.48,0.0,4.0,0.0,358.0,738.0,0.48,0.48,272.0,365.0,0.74,157.0,170.0,327.0,282.0,120.0,37.0,187.0,229.0,988.0,,0.0
1988,30,2999,WSB,Washington Bullets,26.0,NBA,SG,52.0,0.0,940.0,114.0,291.0,0.39,0.0,6.0,0.0,114.0,285.0,0.4,0.39,82.0,105.0,0.78,43.0,84.0,127.0,100.0,62.0,10.0,69.0,105.0,310.0,,0.0
1989,30,2999,WSB,Washington Bullets,27.0,NBA,PG,79.0,78.0,2565.0,286.0,681.0,0.42,0.0,9.0,0.0,286.0,672.0,0.43,0.42,142.0,184.0,0.77,135.0,372.0,507.0,496.0,155.0,23.0,184.0,215.0,714.0,,2.0
1990,30,2999,WSB,Washington Bullets,28.0,NBA,PG,81.0,81.0,2883.0,316.0,696.0,0.45,2.0,21.0,0.1,314.0,675.0,0.46,0.46,138.0,201.0,0.69,173.0,541.0,714.0,652.0,139.0,30.0,173.0,220.0,772.0,,9.0
1991,30,2999,WSB,Washington Bullets,29.0,NBA,PG,71.0,65.0,2305.0,230.0,535.0,0.43,0.0,9.0,0.0,230.0,526.0,0.44,0.43,93.0,154.0,0.6,140.0,358.0,498.0,459.0,78.0,33.0,154.0,199.0,553.0,,4.0
1992,9,2999,DET,Detroit Pistons,30.0,NBA,SG,74.0,4.0,1541.0,161.0,381.0,0.42,0.0,10.0,0.0,161.0,371.0,0.43,0.42,65.0,105.0,0.62,85.0,153.0,238.0,205.0,63.0,18.0,79.0,134.0,387.0,,0.0
1993,31,2999,TOT,Total After Trade,31.0,NBA,"PG,SG",37.0,2.0,511.0,34.0,96.0,0.35,0.0,1.0,0.0,34.0,95.0,0.36,0.35,12.0,26.0,0.46,22.0,36.0,58.0,53.0,33.0,2.0,25.0,63.0,80.0,,0.0
1993,9,2999,DET,Detroit Pistons,31.0,NBA,SG,9.0,2.0,144.0,3.0,19.0,0.16,0.0,1.0,0.0,3.0,18.0,0.17,0.16,2.0,6.0,0.33,4.0,15.0,19.0,9.0,10.0,0.0,13.0,12.0,8.0,,0.0
1993,5,2999,CHI,Chicago Bulls,31.0,NBA,PG,28.0,0.0,367.0,31.0,77.0,0.4,0.0,0.0,,31.0,77.0,0.4,0.4,10.0,20.0,0.5,18.0,21.0,39.0,44.0,23.0,2.0,12.0,51.0,72.0,,0.0
