Season,Team ID,Team ABV,Team,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1998,17,MIL,Milwaukee Bucks,Ray Allen,22.0,82.0,3287.0,0.43,0.45,0.36,0.48,0.88,0.54,0.3,0.28,95.0,96.0,105.0,100.0,119.0,103.0,90.0,175.0,2.7,44.8
1998,17,MIL,Milwaukee Bucks,Glenn Robinson,25.0,56.0,2294.0,0.47,0.48,0.38,0.48,0.81,0.52,0.23,0.06,104.0,101.0,111.0,101.0,110.0,100.0,71.0,36.0,6.9,-4.1
1998,17,MIL,Milwaukee Bucks,Armen Gilliam,33.0,82.0,2114.0,0.48,0.49,0.0,0.48,0.8,0.56,0.49,0.01,107.0,103.0,,101.0,109.0,107.0,149.0,4.0,7.7,59.7
1998,17,MIL,Milwaukee Bucks,Terrell Brandon,27.0,50.0,1784.0,0.46,0.48,0.33,0.48,0.85,0.53,0.21,0.13,103.0,103.0,96.0,101.0,115.0,100.0,65.0,80.0,10.1,3.7
1998,17,MIL,Milwaukee Bucks,Ervin Johnson,30.0,81.0,2261.0,0.54,0.54,,0.54,0.6,0.56,0.5,0.0,119.0,114.0,,112.0,82.0,108.0,153.0,,55.7,46.1
1998,17,MIL,Milwaukee Bucks,Elliot Perry,28.0,81.0,1752.0,0.43,0.44,0.34,0.44,0.84,0.48,0.19,0.09,95.0,93.0,98.0,93.0,115.0,93.0,59.0,56.0,-37.4,-46.7
1998,17,MIL,Milwaukee Bucks,Tyrone Hill,29.0,57.0,2064.0,0.5,0.5,0.0,0.5,0.61,0.54,0.61,0.0,110.0,106.0,,104.0,82.0,103.0,185.0,1.0,16.4,15.8
1998,17,MIL,Milwaukee Bucks,Michael Curry,29.0,82.0,1978.0,0.47,0.47,0.44,0.47,0.84,0.55,0.42,0.02,104.0,100.0,129.0,99.0,113.0,105.0,128.0,13.0,-3.6,24.2
1998,17,MIL,Milwaukee Bucks,Jerald Honeycutt,23.0,38.0,530.0,0.41,0.42,0.38,0.47,0.62,0.5,0.26,0.35,90.0,90.0,109.0,99.0,84.0,95.0,80.0,218.0,-2.3,-13.1
1998,17,MIL,Milwaukee Bucks,Andrew Lang,31.0,57.0,692.0,0.38,0.38,0.0,0.38,0.77,0.45,0.4,0.01,84.0,81.0,,79.0,105.0,86.0,121.0,4.0,-28.7,-24.0
1998,17,MIL,Milwaukee Bucks,Ricky Pierce,38.0,39.0,442.0,0.36,0.37,0.31,0.38,0.83,0.46,0.36,0.09,81.0,78.0,89.0,79.0,112.0,87.0,110.0,57.0,-28.7,-22.7
1998,17,MIL,Milwaukee Bucks,Jamie Feick,23.0,45.0,450.0,0.43,0.46,0.31,0.46,0.49,0.47,0.46,0.14,96.0,97.0,89.0,95.0,66.0,90.0,138.0,91.0,-4.0,-11.1
1998,17,MIL,Milwaukee Bucks,Litterial Green,27.0,21.0,124.0,0.22,0.24,0.0,0.22,0.75,0.39,0.87,0.09,48.0,51.0,,45.0,102.0,75.0,264.0,55.0,-12.0,-8.3
1998,17,MIL,Milwaukee Bucks,Tony Smith,29.0,7.0,80.0,0.33,0.4,0.0,0.33,0.75,0.37,0.17,0.17,74.0,85.0,,70.0,102.0,70.0,51.0,104.0,-6.9,-8.0
1998,17,MIL,Milwaukee Bucks,Jeff Nordgaard,24.0,13.0,48.0,0.28,0.28,,0.28,0.89,0.41,0.5,0.0,62.0,59.0,,58.0,121.0,78.0,152.0,,-7.2,-5.0
1998,17,MIL,Milwaukee Bucks,Tim Breaux,27.0,6.0,30.0,0.36,0.38,0.33,0.41,0.5,0.42,0.18,0.27,81.0,80.0,96.0,86.0,68.0,80.0,55.0,171.0,-1.5,-2.4
1998,17,MIL,Milwaukee Bucks,Team,,,,0.46,0.47,0.35,0.48,0.77,0.53,0.34,0.11,101.0,100.0,102.0,99.0,104.0,101.0,103.0,69.0,-33.1,48.8
1998,17,MIL,Milwaukee Bucks,League Average,,,,0.45,0.47,0.35,0.48,0.74,0.52,0.33,0.16,,,,,,,,,,
