Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2012,11,2052,HOU,Houston Rockets,22.0,NBA,PF,17.0,0.0,126.0,6.6,22.4,0.3,0.8,7.1,0.12,5.8,15.4,0.38,2.5,3.3,0.75,2.1,4.6,6.6,1.2,0.8,0.8,1.7,5.0,16.6,,78.0,109.0
2013,31,2052,TOT,Total After Trade,23.0,NBA,"PF,SF",77.0,23.0,1524.0,7.3,17.4,0.42,2.8,7.7,0.37,4.5,9.7,0.46,2.2,3.9,0.56,2.6,6.5,9.1,2.0,1.5,0.7,2.5,5.3,19.7,,101.0,108.0
2013,11,2052,HOU,Houston Rockets,23.0,NBA,PF,54.0,17.0,1154.0,7.4,17.3,0.43,3.2,8.4,0.38,4.2,8.9,0.47,2.1,3.2,0.65,2.7,6.8,9.5,2.0,1.2,0.7,2.3,5.2,20.1,,106.0,108.0
2013,24,2052,PHO,Phoenix Suns,23.0,NBA,SF,23.0,6.0,370.0,7.1,17.5,0.4,1.7,5.4,0.31,5.4,12.1,0.45,2.4,5.8,0.4,2.4,5.7,8.1,2.1,2.5,0.6,3.3,5.6,18.2,,87.0,108.0
2014,24,2052,PHO,Phoenix Suns,24.0,NBA,SF,82.0,1.0,1800.0,8.0,18.1,0.44,2.8,7.2,0.38,5.3,10.9,0.48,3.4,4.4,0.76,2.3,6.5,8.9,2.5,2.0,0.5,2.6,4.4,22.2,,109.0,107.0
2015,24,2052,PHO,Phoenix Suns,25.0,NBA,PF,81.0,35.0,2045.0,8.1,18.6,0.43,2.7,7.6,0.36,5.3,11.0,0.49,1.7,2.8,0.63,1.8,7.6,9.4,3.2,1.5,0.4,1.8,4.6,20.6,,107.0,107.0
2016,9,2052,DET,Detroit Pistons,26.0,NBA,SF,80.0,80.0,2856.0,7.2,16.7,0.43,1.9,5.3,0.36,5.3,11.4,0.47,3.6,4.8,0.75,1.6,5.5,7.1,3.6,1.2,0.4,2.5,3.0,20.0,,107.0,108.0
2017,9,2052,DET,Detroit Pistons,27.0,NBA,SF,79.0,79.0,2565.0,8.3,19.8,0.42,2.3,7.0,0.33,6.0,12.8,0.47,2.9,3.6,0.78,1.5,5.7,7.2,3.2,1.0,0.5,1.7,3.3,21.8,,105.0,109.0
2018,2,2052,BOS,Boston Celtics,28.0,NBA,PF,54.0,21.0,1442.0,9.0,21.1,0.43,3.0,8.1,0.37,6.1,13.0,0.47,4.3,5.3,0.8,1.5,8.5,10.0,2.5,1.2,0.4,2.2,3.5,25.4,,106.0,105.0
2019,2,2052,BOS,Boston Celtics,29.0,NBA,PF,75.0,53.0,2091.0,8.7,19.4,0.45,3.4,9.0,0.38,5.3,10.5,0.51,3.4,4.0,0.84,1.8,8.8,10.6,2.5,1.0,0.6,2.1,4.2,24.1,,110.0,109.0
2020,31,2052,TOT,Total After Trade,30.0,NBA,"PF,SF",62.0,62.0,1936.0,8.9,20.2,0.44,3.5,8.7,0.41,5.3,11.5,0.46,4.5,5.5,0.82,1.5,6.3,7.8,2.1,1.2,0.7,2.4,4.5,25.8,,111.0,113.0
2020,20,2052,NYK,New York Knicks,30.0,NBA,SF,43.0,43.0,1387.0,9.9,22.3,0.44,4.1,9.3,0.44,5.8,13.1,0.44,5.7,7.0,0.82,1.7,6.5,8.2,2.1,1.2,0.6,2.6,4.5,29.5,,113.0,115.0
2020,13,2052,LAC,Los Angeles Clippers,30.0,NBA,PF,19.0,19.0,549.0,6.4,15.0,0.42,2.2,7.2,0.31,4.1,7.7,0.53,1.5,1.9,0.82,0.9,5.8,6.7,2.3,1.1,1.1,2.1,4.5,16.5,,101.0,109.0
2021,13,2052,LAC,Los Angeles Clippers,31.0,NBA,PF,8.0,0.0,181.0,8.2,19.1,0.43,4.9,10.3,0.47,3.3,8.7,0.38,2.2,2.5,0.89,1.9,6.0,7.9,2.2,0.8,0.3,3.0,3.5,23.4,,107.0,114.0
