Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1984,14,2581,LAL,Los Angeles Lakers,22.0,NBA,SG,20.0,404.0,10.5,0.48,0.06,0.22,3.3,6.8,5.2,10.6,2.1,0.3,12.8,20.8,,-0.1,0.3,0.2,0.02,,-2.3,-0.8,-3.0,-0.1
1985,14,2581,LAL,Los Angeles Lakers,23.0,NBA,SG,19.0,585.0,15.9,0.56,0.08,0.16,3.3,6.2,4.9,10.5,3.1,0.4,7.7,20.6,,0.9,0.8,1.7,0.14,,0.8,0.6,1.4,0.5
1986,14,2581,LAL,Los Angeles Lakers,24.0,NBA,SG,14.0,470.0,13.5,0.56,0.09,0.23,4.1,9.6,7.0,11.2,1.9,0.2,13.1,20.3,,0.5,0.5,1.0,0.1,,-0.5,0.0,-0.4,0.2
1987,14,2581,LAL,Los Angeles Lakers,25.0,NBA,SG,18.0,608.0,13.0,0.56,0.16,0.32,4.1,7.0,5.7,12.3,1.5,0.4,9.5,17.9,,0.9,0.7,1.5,0.12,,-0.3,-0.4,-0.7,0.2
1988,14,2581,LAL,Los Angeles Lakers,26.0,NBA,SG,24.0,897.0,16.5,0.58,0.15,0.29,3.6,9.4,6.6,10.3,2.0,0.3,10.5,22.3,,1.6,0.7,2.3,0.12,,1.9,0.0,1.9,0.9
1989,14,2581,LAL,Los Angeles Lakers,27.0,NBA,SG,11.0,402.0,17.1,0.59,0.24,0.34,3.1,9.3,6.4,9.8,2.3,0.3,9.8,22.1,,0.8,0.4,1.2,0.14,,1.6,0.6,2.2,0.4
1990,14,2581,LAL,Los Angeles Lakers,28.0,NBA,SG,9.0,325.0,13.1,0.54,0.32,0.12,2.7,10.5,6.8,10.3,3.1,0.6,10.4,16.9,,0.3,0.4,0.6,0.09,,0.3,1.3,1.6,0.3
1991,14,2581,LAL,Los Angeles Lakers,29.0,NBA,SG,18.0,678.0,11.7,0.59,0.2,0.18,2.4,7.8,5.1,6.6,1.8,0.4,7.8,14.5,,0.9,0.6,1.4,0.1,,0.0,1.0,1.0,0.5
1992,14,2581,LAL,Los Angeles Lakers,30.0,NBA,SG,4.0,148.0,19.3,0.67,0.27,0.61,2.3,6.0,4.1,17.8,2.1,0.5,8.2,18.8,,0.5,0.0,0.5,0.17,,5.5,1.0,6.5,0.3
1993,14,2581,LAL,Los Angeles Lakers,31.0,NBA,SG,5.0,177.0,13.3,0.65,0.36,0.55,0.0,7.3,3.4,7.5,1.5,0.0,7.1,13.7,,0.4,0.1,0.5,0.15,,0.4,0.5,0.8,0.1
1994,12,2581,IND,Indiana Pacers,32.0,NBA,SG,16.0,239.0,15.8,0.53,0.2,0.53,5.3,11.2,8.3,15.7,2.7,0.6,17.4,27.5,,0.2,0.4,0.6,0.12,,1.4,0.8,2.3,0.3
1995,12,2581,IND,Indiana Pacers,33.0,NBA,PG,17.0,298.0,7.0,0.47,0.36,0.36,2.1,8.4,5.3,9.0,1.8,0.3,16.8,20.4,,-0.3,0.2,0.0,-0.01,,-3.0,-0.9,-4.0,-0.2
1997,14,2581,LAL,Los Angeles Lakers,35.0,NBA,SG,8.0,134.0,11.6,0.62,0.33,0.58,0.0,10.9,5.5,14.9,0.4,0.0,16.2,17.7,,0.2,0.1,0.3,0.1,,-1.1,-0.1,-1.2,0.0
