Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982,22.0,BOS,NBA,SG,10.0,,129.0,5.3,12.6,0.422,0.6,1.1,0.5,4.7,11.4,0.415,2.8,3.6,0.769,1.7,2.0,3.6,3.1,0.6,0.3,3.1,5.9,14.0
1983,23.0,BOS,NBA,SG,7.0,,201.0,5.0,12.9,0.389,0.4,0.9,0.4,4.7,12.0,0.388,1.4,2.0,0.727,0.4,2.1,2.5,4.5,0.9,0.2,1.1,4.3,11.8
1984,24.0,BOS,NBA,SG,19.0,,253.0,5.8,12.8,0.456,0.3,1.3,0.222,5.5,11.5,0.481,1.0,1.4,0.7,0.6,1.7,2.3,5.4,1.3,0.3,1.8,5.1,12.9
1985,25.0,BOS,NBA,SG,21.0,21.0,687.0,5.1,10.9,0.466,0.4,0.8,0.438,4.7,10.1,0.469,1.6,2.0,0.769,1.0,2.0,3.0,6.3,1.7,0.1,1.7,4.0,12.1
1986,26.0,BOS,NBA,SG,18.0,18.0,652.0,5.9,10.7,0.554,0.8,1.9,0.412,5.1,8.8,0.585,2.9,3.3,0.867,1.2,3.0,4.2,5.1,2.3,0.1,1.7,3.1,15.5
1987,27.0,BOS,NBA,SG,20.0,19.0,762.0,5.5,11.2,0.487,1.5,3.4,0.438,4.0,7.8,0.509,1.5,1.7,0.861,0.6,1.8,2.5,4.3,1.1,0.2,1.9,2.9,13.9
1988,28.0,BOS,NBA,SG,17.0,17.0,670.0,3.8,9.9,0.386,1.0,3.1,0.328,2.8,6.8,0.413,2.0,2.3,0.881,0.8,2.0,2.8,5.9,0.5,0.1,2.2,3.4,10.6
1991,31.0,POR,NBA,SG,16.0,0.0,277.0,6.1,13.6,0.448,1.4,4.7,0.306,4.7,9.0,0.522,3.0,3.6,0.821,0.1,3.5,3.6,4.0,1.6,0.5,3.1,4.3,16.6
1992,32.0,POR,NBA,SG,21.0,0.0,449.0,6.5,13.6,0.479,1.7,4.2,0.404,4.8,9.4,0.513,3.1,3.8,0.83,0.6,2.6,3.2,3.9,1.2,0.1,2.0,4.7,17.8
1993,33.0,PHO,NBA,SG,24.0,0.0,591.0,3.9,10.4,0.376,2.0,4.9,0.413,1.9,5.5,0.344,2.1,2.4,0.872,1.2,2.4,3.7,3.4,0.7,0.1,1.3,3.7,11.9
1994,34.0,PHO,NBA,SG,10.0,0.0,230.0,4.2,9.2,0.458,2.7,6.3,0.425,1.6,3.0,0.526,2.3,3.3,0.714,1.1,2.5,3.6,3.3,0.9,0.2,0.8,4.1,13.5
1995,35.0,PHO,NBA,SG,10.0,0.0,137.0,5.0,10.0,0.5,3.2,6.8,0.462,1.8,3.2,0.583,2.6,2.9,0.909,0.5,2.1,2.6,2.6,1.3,0.0,1.6,3.9,15.8
