SEASON,TEAM ID,TEAM,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,24,PHO,Phoenix Suns,82,19705,43.2,89.1,0.48,4.3,13.1,0.33,38.8,76.0,0.51,21.1,29.0,0.73,15.4,30.9,46.2,28.5,9.4,5.8,16.4,20.6,111.7
1994,10,GSW,Golden State Warriors,82,19780,43.0,87.5,0.49,3.6,10.5,0.34,39.4,77.0,0.51,18.7,28.2,0.66,14.5,29.3,43.8,26.9,9.8,6.3,17.5,21.9,108.3
1994,25,POR,Portland Trail Blazers,82,19755,41.5,91.3,0.45,3.3,9.5,0.35,38.1,81.9,0.47,21.9,29.5,0.74,16.0,30.2,46.3,25.5,9.1,5.0,14.9,22.5,108.1
1994,4,CHO,Charlotte Hornets,82,19830,42.0,88.1,0.48,4.2,11.4,0.37,37.8,76.7,0.49,20.3,26.5,0.76,12.6,30.7,43.4,27.5,9.0,4.9,15.7,21.7,108.4
1994,21,SEA,Seattle Supersonics,82,19730,42.7,88.2,0.48,3.1,9.2,0.34,39.6,79.0,0.5,22.6,30.4,0.74,14.7,28.6,43.2,27.0,13.5,4.7,16.1,24.5,111.1
1994,22,ORL,Orlando Magic,82,19730,42.7,88.0,0.48,5.0,14.5,0.35,37.7,73.4,0.51,20.3,30.0,0.68,15.0,30.1,45.2,26.5,8.7,5.8,17.0,21.9,110.8
1994,16,MIA,Miami Heat,82,19805,41.3,89.1,0.46,4.4,12.9,0.34,37.0,76.2,0.48,22.5,28.7,0.78,16.0,31.1,47.1,24.0,8.3,4.8,17.0,26.2,109.5
1994,3,NJN,New Jersey Nets,82,19830,40.1,90.1,0.44,2.8,8.7,0.33,37.3,81.5,0.46,24.1,31.6,0.76,16.5,32.4,48.8,24.1,8.8,7.3,15.2,21.4,107.2
1994,13,LAC,Los Angeles Clippers,82,19780,40.7,87.3,0.47,3.1,10.1,0.3,37.7,77.1,0.49,18.4,25.9,0.71,13.6,29.4,43.0,26.4,9.8,5.1,18.0,21.6,102.9
1994,29,UTA,Utah Jazz,82,19830,41.7,87.4,0.48,2.3,7.3,0.32,39.3,80.2,0.49,22.9,30.9,0.74,13.8,31.0,44.8,28.3,9.8,4.7,15.5,25.8,108.6
1994,1,ALT,Atlanta Hawks,82,19755,41.9,90.7,0.46,3.5,10.7,0.32,38.4,80.0,0.48,20.1,26.7,0.75,16.1,31.2,47.4,26.5,11.8,5.8,16.1,20.9,107.2
1994,6,CLE,Cleveland Cavaliers,82,19855,41.3,88.8,0.46,3.9,10.7,0.36,37.4,78.0,0.48,22.9,29.7,0.77,14.4,31.0,45.4,27.0,9.3,5.6,15.0,22.4,109.4
1994,11,HOU,Houston Rockets,82,19780,40.8,86.0,0.48,5.5,16.4,0.33,35.4,69.6,0.51,18.8,25.3,0.74,11.8,33.5,45.3,26.7,9.2,6.2,17.1,21.0,105.9
1994,26,SAC,Sacramento Kings,82,19755,39.6,87.6,0.45,3.2,9.1,0.35,36.4,78.5,0.46,20.9,28.6,0.73,14.0,29.3,43.3,25.3,8.3,4.4,16.6,24.7,103.3
1994,12,IND,Indiana Pacers,82,19755,41.2,84.9,0.49,2.4,6.5,0.37,38.9,78.4,0.5,22.9,31.1,0.74,14.7,31.4,46.1,26.8,9.2,6.0,18.8,25.7,107.8
1994,2,BOS,Boston Celtics,82,19905,42.0,89.0,0.47,1.7,6.0,0.29,40.3,83.0,0.49,18.4,25.3,0.73,13.1,30.0,43.1,24.3,8.5,5.5,15.7,23.3,104.2
1994,14,LAL,Los Angeles Lakers,82,19755,41.9,93.1,0.45,3.1,10.2,0.3,38.8,82.9,0.47,17.9,25.0,0.72,16.0,28.1,44.1,25.2,9.6,5.9,15.2,23.9,104.8
1994,30,WAB,Washington Bullets,82,19705,40.6,86.7,0.47,2.8,9.5,0.3,37.8,77.3,0.49,20.6,27.5,0.75,13.6,27.8,41.4,23.2,8.9,4.1,17.8,21.8,104.5
1994,8,DEN,Denver Nuggets,82,19755,39.9,85.7,0.46,2.1,7.5,0.28,37.7,78.1,0.48,22.0,30.6,0.72,14.0,32.3,46.3,22.3,8.6,8.7,18.0,24.3,103.9
1994,27,SAS,San Antonio Spurs,82,19780,42.8,90.0,0.48,3.4,9.6,0.35,39.4,80.4,0.49,21.5,29.0,0.74,16.0,35.0,51.0,25.5,7.6,6.1,16.1,22.4,110.4
1994,20,NYK,New York Knicks,82,19755,40.5,88.1,0.46,4.1,11.9,0.35,36.4,76.3,0.48,20.5,27.4,0.75,15.4,33.3,48.6,27.0,9.8,5.0,17.8,26.2,105.7
1994,23,PHI,Philadelphia 76Ers,82,19805,39.3,86.4,0.46,4.0,11.9,0.34,35.3,74.4,0.47,19.1,26.8,0.71,12.8,30.3,43.1,23.1,8.4,6.6,17.3,18.8,101.7
1994,5,CHI,Chicago Bulls,82,19780,42.8,90.0,0.48,3.1,8.7,0.35,39.8,81.3,0.49,17.3,24.5,0.7,15.1,31.6,46.7,27.8,9.8,4.7,17.2,23.1,106.1
1994,17,MIL,Milwaukee Bucks,82,19705,39.2,87.7,0.45,4.3,13.1,0.32,35.0,74.6,0.47,19.7,28.1,0.7,14.5,27.8,42.3,25.1,10.3,5.2,17.3,23.5,102.5
1994,9,DET,Detroit Pistons,82,19730,40.9,90.6,0.45,4.6,13.4,0.34,36.3,77.2,0.47,16.2,22.2,0.73,13.3,30.0,43.2,22.8,7.8,4.0,16.0,25.0,102.7
1994,18,MIN,Minnesota Timberwolves,82,19730,38.4,84.0,0.46,2.4,7.2,0.33,36.0,76.8,0.47,22.8,29.6,0.77,12.7,30.1,42.8,25.3,7.7,5.7,19.0,25.9,101.9
1994,7,DAL,Dallas Mavericks,82,19730,39.3,91.0,0.43,3.1,10.0,0.31,36.2,81.1,0.45,18.7,25.0,0.75,16.4,27.7,44.0,21.0,9.9,3.8,17.9,25.8,100.4
