Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1988,23,115,PHI,Philadelphia 76Ers,21.0,NBA,SG,14.0,234.0,7.1,0.33,0.0,0.15,3.0,8.0,5.5,19.8,2.1,1.5,13.2,16.4,,-0.4,0.2,-0.2,-0.04,,-3.3,0.5,-2.8,0.0
1991,10,115,GSW,Golden State Warriors,24.0,NBA,SG,7.0,85.0,10.9,0.55,0.0,0.44,9.1,5.2,7.1,20.1,1.1,0.0,16.7,16.8,,0.1,0.0,0.2,0.09,,-2.2,-1.9,-4.1,0.0
1992,10,115,GSW,Golden State Warriors,25.0,NBA,SG,80.0,1496.0,12.7,0.55,0.03,0.42,6.6,10.3,8.5,15.4,1.5,0.9,15.7,14.3,,2.0,0.8,2.9,0.09,,0.6,0.0,0.6,1.0
1993,31,115,TOT,Total After Trade,26.0,NBA,SG,73.0,1129.0,13.1,0.55,0.02,0.48,6.3,10.4,8.3,14.6,1.8,1.1,15.6,16.5,,1.5,1.2,2.7,0.11,,-0.5,0.3,-0.2,0.5
1993,26,115,SAC,Sacramento Kings,26.0,NBA,SG,9.0,76.0,8.9,0.57,0.0,0.88,9.9,6.1,8.0,8.8,1.3,0.8,25.3,16.9,,0.0,0.0,0.0,0.03,,-2.9,-1.0,-3.9,0.0
1993,21,115,SEA,Seattle Supersonics,26.0,NBA,SG,64.0,1053.0,13.4,0.55,0.02,0.46,6.0,10.7,8.3,15.0,1.8,1.1,14.8,16.5,,1.4,1.2,2.6,0.12,,-0.4,0.4,0.0,0.5
1994,21,115,SEA,Seattle Supersonics,27.0,NBA,SG,80.0,1690.0,15.9,0.55,0.06,0.37,4.2,8.7,6.5,16.8,2.2,0.8,9.6,18.5,,3.9,2.1,6.0,0.17,,1.1,0.7,1.8,1.6
1995,21,115,SEA,Seattle Supersonics,28.0,NBA,SG,71.0,1721.0,13.6,0.58,0.19,0.47,4.6,7.9,6.2,14.8,1.4,0.6,12.3,17.4,,3.3,1.3,4.6,0.13,,0.4,-0.5,-0.1,0.8
1996,21,115,SEA,Seattle Supersonics,29.0,NBA,SG,69.0,1725.0,11.9,0.57,0.2,0.37,4.7,10.0,7.5,14.6,1.4,0.7,15.9,15.6,,2.2,2.2,4.3,0.12,,-0.5,0.4,-0.1,0.8
1997,31,115,TOT,Total After Trade,30.0,NBA,SG,43.0,838.0,9.7,0.53,0.13,0.47,3.6,10.2,7.0,17.3,1.1,0.6,17.0,14.9,,0.7,0.8,1.5,0.09,,-2.7,0.8,-1.9,0.0
1997,3,115,NJN,New Jersey Nets,30.0,NBA,SG,1.0,7.0,-2.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.02,,-7.5,-1.6,-9.1,0.0
1997,12,115,IND,Indiana Pacers,30.0,NBA,SG,41.0,822.0,9.9,0.53,0.13,0.47,3.7,10.4,7.1,17.7,1.1,0.6,16.0,14.8,,0.8,0.8,1.6,0.09,,-2.6,0.9,-1.7,0.1
1997,8,115,DEN,Denver Nuggets,30.0,NBA,SG,1.0,9.0,0.9,0.77,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,50.8,39.1,,-0.1,0.0,-0.1,-0.39,,-8.9,-6.5,-15.3,0.0
1998,25,115,POR,Portland Trail Blazers,31.0,NBA,SG,30.0,443.0,6.7,0.46,0.04,0.72,5.7,11.9,8.9,12.5,2.3,0.8,33.0,10.9,,-0.4,0.6,0.2,0.02,,-4.1,2.0,-2.1,0.0
