Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,22.0,NBA,PF,82.0,52.0,2114.0,3.9,8.4,0.46,0.0,0.1,0.0,3.9,8.3,0.47,2.4,3.3,0.73,3.2,5.1,8.3,1.5,1.5,0.8,1.7,3.5,10.1
2010,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,23.0,NBA,PF,73.0,62.0,1866.0,3.4,7.1,0.48,0.1,0.3,0.35,3.3,6.8,0.49,1.8,2.6,0.7,3.3,4.4,7.7,1.6,1.2,0.8,1.4,3.5,8.7
2011,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,24.0,NBA,PF,79.0,52.0,2093.0,3.4,7.4,0.46,0.0,0.1,0.0,3.4,7.2,0.47,2.3,3.2,0.71,2.9,4.3,7.2,1.2,1.2,0.5,1.3,3.1,9.1
2012,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,25.0,NBA,PF,43.0,22.0,1009.0,4.7,9.3,0.51,0.0,0.1,0.25,4.7,9.2,0.51,2.4,3.7,0.64,2.7,5.4,8.1,1.0,1.4,0.8,1.4,3.3,11.9
2013,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,26.0,NBA,SF,58.0,45.0,1326.0,4.1,10.2,0.4,0.4,1.0,0.35,3.7,9.2,0.41,2.0,3.4,0.57,2.4,4.5,7.0,1.5,1.1,0.4,1.9,2.2,10.5
2014,31,1894,TOT,Total After Trade,Luc Mbah a Moute,1986-09-09,27.0,NBA,"PF,SF",64.0,7.0,1003.0,3.1,6.9,0.45,0.1,0.6,0.24,3.0,6.3,0.47,1.7,2.4,0.69,2.0,3.2,5.2,1.3,1.1,0.5,1.4,2.4,8.0
2014,26,1894,SAC,Sacramento Kings,Luc Mbah a Moute,1986-09-09,27.0,NBA,SF,9.0,5.0,196.0,2.8,5.9,0.47,0.2,0.6,0.33,2.6,5.3,0.48,1.7,2.4,0.69,1.7,3.3,5.0,2.8,1.7,0.9,0.7,3.3,7.3
2014,18,1894,MIN,Minnesota Timberwolves,Luc Mbah a Moute,1986-09-09,27.0,NBA,PF,55.0,2.0,807.0,3.2,7.2,0.45,0.1,0.6,0.21,3.1,6.6,0.47,1.7,2.4,0.68,2.1,3.2,5.3,0.9,0.9,0.4,1.6,2.2,8.2
2015,23,1894,PHI,Philadelphia 76Ers,Luc Mbah a Moute,1986-09-09,28.0,NBA,PF,67.0,61.0,1916.0,4.7,11.9,0.4,1.2,3.8,0.31,3.6,8.2,0.44,1.8,3.1,0.59,1.5,4.6,6.2,2.0,1.5,0.4,1.9,2.0,12.4
2016,13,1894,LAC,Los Angeles Clippers,Luc Mbah a Moute,1986-09-09,29.0,NBA,PF,75.0,61.0,1274.0,2.7,5.8,0.45,0.4,1.1,0.32,2.3,4.7,0.48,0.8,1.6,0.53,1.7,3.1,4.8,0.8,1.2,0.5,1.0,2.8,6.5
2017,13,1894,LAC,Los Angeles Clippers,Luc Mbah a Moute,1986-09-09,30.0,NBA,SF,80.0,76.0,1787.0,3.8,7.6,0.5,0.9,2.2,0.39,3.0,5.4,0.55,1.2,1.8,0.68,0.9,2.5,3.4,0.8,1.6,0.7,0.9,2.5,9.8
2018,11,1894,HOU,Houston Rockets,Luc Mbah a Moute,1986-09-09,31.0,NBA,PF,61.0,15.0,1564.0,3.8,7.9,0.48,1.5,4.0,0.36,2.4,4.0,0.6,1.5,2.2,0.68,0.5,3.8,4.3,1.3,1.7,0.6,1.6,2.3,10.6
2019,13,1894,LAC,Los Angeles Clippers,Luc Mbah a Moute,1986-09-09,32.0,NBA,PF,4.0,0.0,61.0,4.7,10.6,0.44,1.2,3.5,0.33,3.5,7.1,0.5,1.2,3.0,0.4,1.2,3.0,4.1,1.2,0.6,0.6,1.2,4.7,11.8
2020,11,1894,HOU,Houston Rockets,Luc Mbah a Moute,1986-09-09,33.0,NBA,PF,3.0,0.0,25.0,2.9,7.2,0.4,0.0,2.9,0.0,2.9,4.3,0.67,1.4,2.9,0.5,1.4,1.4,2.9,0.0,2.9,0.0,1.4,0.0,7.2
