Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1989,4,517,CHO,Charlotte Hornets,Rex Chapman,"October 5, 1967",21.0,NBA,SG,75.0,2219.0,12.6,0.47,0.15,0.15,3.5,5.9,4.7,12.6,1.5,0.7,7.7,27.1,-0.7,0.4,-0.2,-0.0,-1.0,-2.2,-3.2,-0.7
1990,4,517,CHO,Charlotte Hornets,Rex Chapman,"October 5, 1967",22.0,NBA,SG,54.0,1762.0,11.9,0.47,0.15,0.21,3.2,8.7,5.8,12.2,1.3,0.2,9.0,26.8,-1.4,0.7,-0.7,-0.02,-1.6,-2.1,-3.7,-0.8
1991,4,517,CHO,Charlotte Hornets,Rex Chapman,"October 5, 1967",23.0,NBA,PG,70.0,2100.0,15.1,0.53,0.16,0.31,2.4,8.2,5.2,18.8,1.7,0.5,11.1,23.9,2.0,1.0,3.0,0.07,0.4,-0.9,-0.5,0.8
1992,31,517,TOT,Total After Trade,Rex Chapman,"October 5, 1967",24.0,NBA,"PG,SG",22.0,567.0,12.1,0.49,0.12,0.21,1.9,9.3,5.5,22.1,1.3,0.8,14.0,22.9,-0.1,0.2,0.1,0.01,-1.1,-1.2,-2.3,0.0
1992,4,517,CHO,Charlotte Hornets,Rex Chapman,"October 5, 1967",24.0,NBA,PG,21.0,545.0,12.3,0.49,0.11,0.22,1.7,9.0,5.3,22.1,1.2,0.8,13.8,22.7,0.0,0.2,0.2,0.02,-0.8,-1.1,-1.9,0.0
1992,30,517,WSB,Washington Bullets,Rex Chapman,"October 5, 1967",24.0,NBA,SG,1.0,22.0,7.2,0.42,0.17,0.0,4.9,15.3,10.0,22.0,2.2,0.0,20.0,28.8,-0.1,0.0,-0.1,-0.12,-8.7,-2.5,-11.1,-0.1
1993,30,517,WSB,Washington Bullets,Rex Chapman,"October 5, 1967",25.0,NBA,SG,60.0,1300.0,15.1,0.56,0.19,0.27,1.6,6.1,3.8,14.6,1.4,0.5,10.5,24.6,1.5,0.4,1.9,0.07,0.5,-1.5,-1.0,0.3
1994,30,517,WSB,Washington Bullets,Rex Chapman,"October 5, 1967",26.0,NBA,SG,60.0,2025.0,16.9,0.57,0.19,0.24,3.2,5.2,4.2,15.3,1.5,0.2,10.9,22.7,4.2,-0.3,3.9,0.09,2.4,-2.2,0.3,1.2
1995,30,517,WSB,Washington Bullets,Rex Chapman,"October 5, 1967",27.0,NBA,SG,45.0,1468.0,15.3,0.52,0.43,0.25,1.7,7.3,4.4,13.9,2.3,0.7,8.0,23.0,1.7,0.8,2.5,0.08,1.1,-0.4,0.7,1.0
1996,16,517,MIA,Miami Heat,Rex Chapman,"October 5, 1967",28.0,NBA,SG,56.0,1865.0,13.0,0.54,0.5,0.17,1.4,7.5,4.5,15.4,1.3,0.4,9.8,19.7,2.3,1.9,4.2,0.11,0.7,0.1,0.8,1.3
1997,24,517,PHO,Phoenix Suns,Rex Chapman,"October 5, 1967",29.0,NBA,SG,65.0,1833.0,15.2,0.55,0.42,0.2,1.6,9.9,5.8,16.3,1.5,0.3,10.5,22.4,2.4,0.9,3.3,0.09,1.3,-1.0,0.2,1.0
1998,24,517,PHO,Phoenix Suns,Rex Chapman,"October 5, 1967",30.0,NBA,SG,68.0,2263.0,14.4,0.52,0.32,0.2,1.6,7.2,4.5,14.8,1.6,0.4,10.0,23.1,2.4,2.1,4.5,0.1,0.9,-0.7,0.2,1.3
1999,24,517,PHO,Phoenix Suns,Rex Chapman,"October 5, 1967",31.0,NBA,SG,38.0,1183.0,11.8,0.46,0.33,0.2,1.2,9.2,5.1,15.2,1.5,0.6,9.8,21.6,0.3,0.6,0.9,0.04,-1.0,-1.5,-2.5,-0.1
2000,24,517,PHO,Phoenix Suns,Rex Chapman,"October 5, 1967",32.0,NBA,SG,53.0,957.0,9.4,0.49,0.38,0.24,1.2,8.0,4.7,9.9,1.2,0.1,9.7,18.1,0.4,1.0,1.4,0.07,-2.0,-0.2,-2.2,-0.1
