Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1980,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",20.0,NBA,SG,16,,658,103,199,0.52,2,8,0.25,101,191,0.53,0.52,85,106,0.8,52,116,168,151,49,6,65,47,293,5
1981,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",21.0,NBA,SG,3,,127,19,49,0.39,0,0,,19,49,0.39,0.39,13,20,0.65,8,33,41,21,8,3,11,14,51,0
1982,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",22.0,NBA,SG,14,,562,83,157,0.53,0,4,0.0,83,153,0.54,0.53,77,93,0.83,54,104,158,130,40,3,44,50,243,6
1983,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",23.0,NBA,SG,15,,643,100,206,0.48,0,11,0.0,100,195,0.51,0.48,68,81,0.84,51,77,128,192,34,12,64,49,268,2
1984,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",24.0,NBA,PG,21,,837,151,274,0.55,0,7,0.0,151,267,0.57,0.55,80,100,0.8,26,113,139,284,42,20,79,71,382,5
1985,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",25.0,NBA,PG,19,19.0,687,116,226,0.51,1,7,0.14,115,219,0.52,0.52,100,118,0.85,19,115,134,289,32,4,76,48,333,2
1986,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",26.0,NBA,PG,14,14.0,541,110,205,0.54,0,11,0.0,110,194,0.57,0.54,82,107,0.77,21,79,100,211,27,1,45,43,302,3
1987,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",27.0,NBA,PG,18,18.0,666,146,271,0.54,2,10,0.2,144,261,0.55,0.54,98,118,0.83,28,111,139,219,31,7,51,37,392,3
1988,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",28.0,NBA,PG,24,24.0,965,169,329,0.51,7,14,0.5,162,315,0.51,0.52,132,155,0.85,32,98,130,303,34,4,83,61,477,0
1989,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",29.0,NBA,PG,14,14.0,518,85,174,0.49,10,35,0.29,75,139,0.54,0.52,78,86,0.91,15,68,83,165,27,3,53,30,258,0
1990,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",30.0,NBA,PG,9,9.0,376,76,155,0.49,5,25,0.2,71,130,0.55,0.51,70,79,0.89,12,45,57,115,11,1,36,28,227,0
1991,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",31.0,NBA,PG,19,19.0,823,118,268,0.44,21,71,0.3,97,197,0.49,0.48,157,178,0.88,23,131,154,240,23,0,77,43,414,4
1996,14,1504,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",36.0,NBA,PF,4,0.0,135,15,39,0.38,3,9,0.33,12,30,0.4,0.42,28,33,0.85,8,26,34,26,0,0,12,3,61,0
