SEASON,TEAM ID,TEAM,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
2011,19,NOH,David West,30.0,70.0,2451.0,0.51,0.51,0.22,0.51,0.81,0.56,0.31,0.01,111.0,105.0,62.0,102.0,106.0,103.0,105.0,4.0,21.4,40.1
2011,19,NOH,Chris Paul,25.0,80.0,2880.0,0.46,0.48,0.39,0.5,0.88,0.58,0.41,0.2,101.0,99.0,108.0,101.0,115.0,107.0,138.0,89.0,6.0,80.2
2011,19,NOH,Marco Belinelli,24.0,80.0,1957.0,0.44,0.46,0.41,0.53,0.78,0.56,0.18,0.47,95.0,94.0,115.0,107.0,103.0,103.0,60.0,211.0,49.3,28.2
2011,19,NOH,Trevor Ariza,25.0,75.0,2600.0,0.4,0.45,0.3,0.45,0.7,0.49,0.26,0.36,87.0,92.0,84.0,91.0,92.0,90.0,86.0,160.0,-71.5,-93.0
2011,19,NOH,Emeka Okafor,28.0,72.0,2287.0,0.57,0.57,0.0,0.57,0.56,0.58,0.49,0.0,125.0,118.0,,115.0,74.0,108.0,164.0,1.0,77.7,54.7
2011,19,NOH,Willie Green,29.0,77.0,1674.0,0.44,0.48,0.35,0.49,0.78,0.51,0.16,0.26,97.0,98.0,97.0,98.0,102.0,95.0,55.0,115.0,-13.0,-35.1
2011,19,NOH,Jarrett Jack,27.0,70.0,1375.0,0.41,0.42,0.34,0.44,0.84,0.5,0.33,0.16,90.0,87.0,96.0,88.0,111.0,93.0,109.0,74.0,-60.3,-42.7
2011,19,NOH,Marcus Thornton,23.0,46.0,745.0,0.41,0.42,0.38,0.46,0.76,0.49,0.2,0.28,89.0,87.0,105.0,93.0,99.0,91.0,66.0,126.0,-23.9,-34.1
2011,19,NOH,Jason Smith,24.0,77.0,1102.0,0.44,0.45,0.0,0.44,0.84,0.49,0.23,0.01,97.0,92.0,,89.0,110.0,90.0,76.0,3.0,-34.0,-34.8
2011,19,NOH,Carl Landry,27.0,23.0,602.0,0.53,0.53,0.0,0.53,0.79,0.58,0.36,0.0,115.0,109.0,,106.0,104.0,107.0,120.0,2.0,11.7,17.4
2011,19,NOH,Quincy Pondexter,22.0,66.0,734.0,0.41,0.42,0.36,0.46,0.71,0.48,0.19,0.28,88.0,87.0,100.0,91.0,92.0,89.0,63.0,125.0,-15.4,-23.1
2011,19,NOH,Aaron Gray,26.0,41.0,531.0,0.57,0.57,,0.57,0.5,0.57,0.34,0.0,123.0,116.0,,114.0,65.0,105.0,114.0,,13.3,5.6
2011,19,NOH,David Andersen,30.0,29.0,223.0,0.45,0.46,0.38,0.48,0.47,0.48,0.2,0.18,97.0,94.0,107.0,96.0,61.0,89.0,68.0,79.0,-2.8,-9.3
2011,19,NOH,D.J. Mbenga,30.0,41.0,330.0,0.47,0.47,,0.47,0.72,0.52,0.37,0.0,102.0,96.0,,94.0,95.0,96.0,122.0,,-2.8,-2.6
2011,19,NOH,Jerryd Bayless,22.0,11.0,149.0,0.35,0.4,0.21,0.38,0.76,0.44,0.35,0.29,76.0,82.0,60.0,76.0,100.0,82.0,116.0,129.0,-11.8,-11.2
2011,19,NOH,Peja StojakoviA,33.0,6.0,89.0,0.42,0.38,0.44,0.59,0.86,0.62,0.21,0.76,93.0,77.0,123.0,119.0,112.0,115.0,71.0,342.0,6.1,5.9
2011,19,NOH,Sasha PavloviA,27.0,4.0,50.0,0.18,0.33,0.0,0.18,,0.18,0.0,0.46,40.0,68.0,,36.0,,34.0,,205.0,-7.0,-7.9
2011,19,NOH,Patrick Ewing,26.0,7.0,19.0,0.0,0.0,0.0,0.0,0.75,0.22,0.8,0.4,,,,,98.0,41.0,267.0,180.0,-5.0,-4.3
2011,19,NOH,Pops Mensah-Bonsu,27.0,7.0,35.0,0.33,0.33,,0.33,,0.33,0.0,0.0,73.0,68.0,,67.0,,62.0,,,-1.0,-1.2
2011,19,NOH,Team,,,,0.47,0.49,0.36,0.5,0.76,0.54,0.3,0.19,102.0,101.0,101.0,100.0,99.0,100.0,99.0,86.0,25.1,14.6
2011,19,NOH,League Average,,,,0.46,0.49,0.36,0.5,0.76,0.54,0.3,0.22,,,,,,,,,,
