SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,17,MIL,Vin Baker,22.0,82,63.0,2560,435,869,0.5,1,5,0.2,434,864,0.5,0.5,234,411,0.57,277,344,621,163,60,114,162,231,1105
1994,17,MIL,Ken Norman,29.0,82,75.0,2539,412,919,0.45,63,189,0.33,349,730,0.48,0.48,92,183,0.5,169,331,500,222,58,46,150,209,979
1994,17,MIL,Eric Murdock,25.0,82,76.0,2533,477,1019,0.47,69,168,0.41,408,851,0.48,0.5,234,288,0.81,91,170,261,546,197,12,206,189,1257
1994,17,MIL,Blue Edwards,28.0,82,64.0,2322,382,800,0.48,38,106,0.36,344,694,0.5,0.5,151,189,0.8,104,225,329,171,83,27,146,235,953
1994,17,MIL,Todd Day,24.0,76,39.0,2127,351,845,0.42,33,148,0.22,318,697,0.46,0.44,231,331,0.7,115,195,310,138,103,52,129,221,966
1994,17,MIL,Lee Mayberry,23.0,82,6.0,1472,167,402,0.42,41,119,0.34,126,283,0.44,0.47,58,84,0.69,26,75,101,215,46,4,97,114,433
1994,17,MIL,Frank Brickowski,34.0,43,40.0,1441,251,521,0.48,3,18,0.17,248,503,0.49,0.48,148,191,0.78,53,226,279,165,52,16,125,165,653
1994,17,MIL,Jon Barry,24.0,72,7.0,1242,158,382,0.41,32,115,0.28,126,267,0.47,0.46,97,122,0.8,36,110,146,168,102,17,83,110,445
1994,17,MIL,Derek Strong,25.0,67,11.0,1131,141,341,0.41,3,13,0.23,138,328,0.42,0.42,159,206,0.77,109,172,281,48,38,14,61,69,444
1994,17,MIL,Brad Lohaus,29.0,67,2.0,962,102,281,0.36,46,134,0.34,56,147,0.38,0.44,20,29,0.69,33,117,150,62,30,55,58,142,270
1994,17,MIL,Anthony Avent,24.0,33,20.0,695,92,228,0.4,0,0,,92,228,0.4,0.4,61,79,0.77,60,94,154,33,16,20,43,60,245
1994,17,MIL,Danny Schayes,34.0,23,6.0,230,14,46,0.3,0,0,,14,46,0.3,0.3,21,22,0.96,16,29,45,5,5,8,14,27,49
1994,17,MIL,Anthony Cook,26.0,23,0.0,201,26,53,0.49,0,1,0.0,26,52,0.5,0.49,10,25,0.4,20,36,56,4,3,12,11,22,62
1994,17,MIL,Joe Courtney,24.0,19,0.0,177,27,70,0.39,2,3,0.67,25,67,0.37,0.4,9,15,0.6,14,15,29,6,7,6,11,21,65
1994,17,MIL,Mike Gminski,34.0,8,1.0,54,5,24,0.21,0,0,,5,24,0.21,0.21,3,4,0.75,3,12,15,0,0,3,2,3,13
1994,17,MIL,Greg Foster,25.0,3,0.0,19,4,7,0.57,0,0,,4,7,0.57,0.57,2,2,1.0,0,3,3,0,0,1,1,3,10
1994,17,MIL,Team Totals,,82,,19705,3044,6807,0.45,331,1019,0.32,2713,5788,0.47,0.47,1530,2181,0.7,1126,2154,3280,1946,800,407,1343,1821,7949
