SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,11,HOU,Hakeem Olajuwon,31.0,80,80.0,3277,894,1694,0.53,8,19,0.42,886,1675,0.53,0.53,388,542,0.72,229,726,955,287,128,297,271,289,2184
1994,11,HOU,Otis Thorpe,31.0,82,82.0,2909,449,801,0.56,0,2,0.0,449,799,0.56,0.56,251,382,0.66,271,599,870,189,66,28,185,253,1149
1994,11,HOU,Vernon Maxwell,28.0,75,73.0,2571,380,976,0.39,120,403,0.3,260,573,0.45,0.45,143,191,0.75,42,187,229,380,125,20,185,143,1023
1994,11,HOU,Robert Horry,23.0,81,81.0,2370,322,702,0.46,44,136,0.32,278,566,0.49,0.49,115,157,0.73,128,312,440,231,119,75,137,186,803
1994,11,HOU,Kenny Smith,28.0,78,78.0,2209,341,711,0.48,89,220,0.4,252,491,0.51,0.54,135,155,0.87,24,114,138,327,59,4,126,121,906
1994,11,HOU,Mario Elie,30.0,67,8.0,1606,208,466,0.45,56,167,0.34,152,299,0.51,0.51,154,179,0.86,28,153,181,208,50,8,109,124,626
1994,11,HOU,Carl Herrera,27.0,75,0.0,1292,142,310,0.46,0,0,,142,310,0.46,0.46,69,97,0.71,101,184,285,37,32,26,69,159,353
1994,11,HOU,Scott Brooks,28.0,73,0.0,1225,142,289,0.49,23,61,0.38,119,228,0.52,0.53,74,85,0.87,10,92,102,149,51,2,55,98,381
1994,11,HOU,Sam Cassell,24.0,66,6.0,1122,162,388,0.42,26,88,0.3,136,300,0.45,0.45,90,107,0.84,25,109,134,192,59,7,94,136,440
1994,11,HOU,Matt Bullard,26.0,65,0.0,725,78,226,0.34,50,154,0.32,28,72,0.39,0.46,20,26,0.77,23,61,84,64,14,6,28,67,226
1994,11,HOU,Eric Riley,23.0,47,2.0,219,34,70,0.49,0,1,0.0,34,69,0.49,0.49,20,37,0.54,24,35,59,9,5,9,15,30,88
1994,11,HOU,Richard Petruska,25.0,22,0.0,92,20,46,0.44,7,15,0.47,13,31,0.42,0.51,6,8,0.75,9,22,31,1,2,3,15,15,53
1994,11,HOU,Chris Jent,24.0,3,0.0,78,13,26,0.5,4,11,0.36,9,15,0.6,0.58,1,2,0.5,4,11,15,7,0,0,5,13,31
1994,11,HOU,Larry Robinson,26.0,6,0.0,55,10,20,0.5,2,8,0.25,8,12,0.67,0.55,3,8,0.38,4,6,10,6,7,0,10,8,25
1994,11,HOU,Earl Cureton,36.0,2,0.0,30,2,8,0.25,0,0,,2,8,0.25,0.25,0,2,0.0,4,8,12,0,0,0,1,4,4
1994,11,HOU,Team Totals,,82,,19780,3197,6733,0.48,429,1285,0.33,2768,5448,0.51,0.51,1469,1978,0.74,926,2619,3545,2087,717,485,1338,1646,8292
