PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Tom Chambers,29,12,12,495,11.0,23.9,0.45899999999999996,0.8,2.0,0.409,10.1,21.8,0.46399999999999997,6.2,7.2,0.8590000000000001,2.0,10.1,12.2,4.3,1.2,1.4,3.6,4.1,29.0,,109,105
Kevin Johnson,22,12,12,494,8.4,16.9,0.495,0.3,0.9,0.3,8.1,16.0,0.506,9.5,10.2,0.927,1.1,3.6,4.7,13.7,1.8,0.5,5.1,2.6,26.5,,121,109
Eddie Johnson,29,12,0,392,10.0,24.2,0.413,1.5,4.5,0.342,8.4,19.7,0.429,3.5,4.6,0.769,3.3,6.9,10.2,2.9,1.4,0.2,2.1,4.8,25.0,,106,108
Jeff Hornacek,25,12,12,374,9.1,18.3,0.49700000000000005,0.0,0.9,0.0,9.1,17.5,0.521,2.6,3.1,0.84,3.1,5.4,8.5,7.6,2.0,0.4,2.2,4.2,20.8,,117,108
Dan Majerle,23,12,0,352,8.2,18.8,0.43799999999999994,1.0,3.7,0.28600000000000003,7.2,15.2,0.474,5.0,6.3,0.792,2.9,4.6,7.4,1.8,1.7,0.5,2.0,3.7,22.5,,112,108
Tyrone Corbin,26,12,12,310,6.7,12.8,0.523,0.0,0.0,,6.7,12.8,0.523,2.8,3.7,0.76,6.4,6.2,12.6,3.9,3.6,0.6,2.1,5.5,16.2,,122,103
Mark West,28,12,12,227,6.5,10.1,0.64,0.0,0.0,,6.5,10.1,0.64,2.0,2.8,0.7140000000000001,4.3,6.5,10.7,1.2,1.4,3.8,2.6,7.3,15.0,,118,104
Armen Gilliam,24,9,0,126,9.9,18.6,0.529,0.0,0.0,,9.9,18.6,0.529,6.9,8.0,0.8640000000000001,6.6,9.9,16.4,0.7,0.4,0.7,3.7,4.0,26.6,,117,108
T.R. Dunn,33,8,0,79,1.7,4.1,0.429,0.0,0.0,,1.7,4.1,0.429,0.6,1.2,0.5,4.1,4.7,8.7,0.6,2.9,0.0,1.2,6.4,4.1,,104,106
Tim Perry,23,4,0,17,5.4,10.8,0.5,0.0,0.0,,5.4,10.8,0.5,0.0,5.4,0.0,2.7,2.7,5.4,0.0,5.4,2.7,2.7,2.7,10.8,,75,100
Andrew Lang,22,4,0,8,0.0,11.5,0.0,0.0,0.0,,0.0,11.5,0.0,0.0,0.0,,17.2,17.2,34.5,5.7,0.0,0.0,17.2,17.2,0.0,,42,104
Ed Nealy,28,4,0,6,7.7,23.0,0.33299999999999996,0.0,0.0,,7.7,23.0,0.33299999999999996,0.0,0.0,,7.7,15.3,23.0,0.0,0.0,0.0,0.0,0.0,15.3,,94,106
