SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1989,17,MIL,Fred Roberts,28,9,5,345,7.9,16.2,0.49,0.0,0.5,0.0,7.9,15.7,0.5,5.5,6.5,0.85,1.8,4.5,6.3,3.2,0.8,0.6,2.1,4.7,21.4,,113,118
1989,17,MIL,Jay Humphries,26,9,9,323,8.5,17.1,0.5,0.5,3.1,0.17,8.0,14.0,0.57,5.2,5.9,0.88,1.4,3.3,4.7,12.1,1.4,0.0,2.1,5.0,22.6,,125,118
1989,17,MIL,Jack Sikma,33,9,9,301,6.9,17.4,0.39,1.5,5.2,0.29,5.4,12.2,0.44,4.3,5.2,0.82,1.7,7.6,9.3,5.6,1.5,0.7,3.9,7.6,19.5,,96,114
1989,17,MIL,Ricky Pierce,29,9,0,292,14.7,27.0,0.55,1.1,1.5,0.75,13.6,25.4,0.53,7.8,9.0,0.87,1.0,3.8,4.8,4.8,2.1,0.4,1.7,5.9,38.4,,126,116
1989,17,MIL,Larry Krystkowiak,24,8,8,239,6.8,15.9,0.43,0.0,0.5,0.0,6.8,15.4,0.44,6.3,7.2,0.87,3.3,7.2,10.5,2.8,0.5,0.2,3.7,5.1,19.9,,100,117
1989,17,MIL,Sidney Moncrief,31,9,9,184,5.8,14.6,0.4,0.6,2.1,0.29,5.2,12.4,0.42,4.6,4.9,0.94,2.4,5.5,7.9,3.9,1.5,0.6,3.3,5.2,16.7,,98,116
1989,17,MIL,Randy Breuer,28,9,1,162,5.9,11.0,0.53,0.0,0.0,,5.9,11.0,0.53,1.7,4.5,0.38,3.1,10.7,13.8,1.7,0.7,2.1,0.7,5.9,13.4,,112,112
1989,17,MIL,Terry Cummings,27,5,4,124,11.3,31.1,0.36,0.0,0.5,0.0,11.3,30.6,0.37,6.3,7.2,0.88,8.6,6.3,14.9,3.2,1.4,0.0,1.8,7.2,28.8,,100,116
1989,17,MIL,Rickey Green,34,8,0,110,6.1,14.7,0.41,0.5,1.0,0.5,5.6,13.7,0.41,2.0,2.0,1.0,1.5,5.1,6.6,9.1,2.5,0.0,2.0,4.6,14.7,,106,115
1989,17,MIL,Tony Brown,28,6,0,69,3.2,8.9,0.36,0.0,0.8,0.0,3.2,8.1,0.4,2.4,3.2,0.75,1.6,4.0,5.7,4.9,1.6,0.0,0.8,7.3,8.9,,106,117
1989,17,MIL,Paul Mokeski,32,5,0,61,7.3,12.8,0.57,0.9,0.9,1.0,6.4,11.9,0.54,5.5,7.3,0.75,7.3,8.2,15.6,2.7,0.0,0.0,1.8,14.6,21.1,,135,117
