Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,24.0,MIA,NBA,C,78,18,1259,199,468,0.425,0,4,0.0,199,464,0.429,0.425,88,131,0.672,115,221,336,31,17,26,108,189,486
1992,25.0,MIA,NBA,PF,77,4,1197,158,383,0.413,0,0,,158,383,0.413,0.413,94,115,0.817,114,200,314,34,17,32,58,185,410
1993,26.0,MIA,NBA,PF,40,2,415,57,122,0.467,5,11,0.455,52,111,0.468,0.488,36,47,0.766,25,66,91,14,4,12,21,63,155
1994,27.0,MIA,NBA,PF,15,0,66,11,25,0.44,5,9,0.556,6,16,0.375,0.54,6,8,0.75,4,6,10,2,1,1,5,14,33
