NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
11,Chris Andersen,C,6-10,245,1978-07-07,US,6,Blinn College
15,Carmelo Anthony,SF,6-8,238,1984-05-29,US,5,Syracuse
12,Chucky Atkins,PG,5-11,160,1974-08-14,US,9,South Florida
32,Renaldo Balkman,PF,6-8,208,1984-07-14,US,2,South Carolina
7,Chauncey Billups,PG,6-3,202,1976-09-25,US,11,Colorado
25,Anthony Carter,PG,6-1,190,1975-06-16,US,9,Hawaii
6,Jason Hart,PG,6-3,185,1978-04-29,US,7,Syracuse
31,Nenê Hilário,C,6-11,250,1982-09-13,BR,6,
5,Juwan Howard,PF,6-9,240,1973-02-07,US,14,Michigan
3,Allen Iverson,SG,6-0,165,1975-06-07,US,12,Georgetown
30,Dahntay Jones,SG,6-6,225,1980-12-27,US,5,"Rutgers University, Duke"
43,Linas Kleiza,SF,6-8,245,1985-01-03,LT,3,Missouri
4,Kenyon Martin,PF,6-9,234,1977-12-30,US,8,Cincinnati
27,Johan Petro,C,7-0,247,1986-01-27,FR,3,
35,Cheikh Samb,C,7-1,245,1984-10-22,SN,1,
1,J.R. Smith,SG,6-6,225,1985-09-09,US,4,
13,Sonny Weems,SG,6-6,205,1986-07-08,US,R,Arkansas
