NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
12,Hilton Armstrong,C,6-11,235,1984-11-11,US,2,UConn
40,Ryan Bowen,SF,6-7,215,1975-11-20,US,8,Iowa
23,Devin Brown,SG,6-5,220,1978-12-30,US,6,Texas-San Antonio
45,Rasual Butler,SF,6-7,215,1979-05-23,US,6,La Salle
6,Tyson Chandler,C,7-0,235,1982-10-02,US,7,
50,Antonio Daniels,PG,6-4,195,1975-03-19,US,11,Bowling Green
33,Melvin Ely,C,6-10,260,1978-05-02,US,6,Fresno State
5,Mike James,PG,6-2,188,1975-06-23,US,7,Duquesne
4,Sean Marks,C,6-10,250,1975-08-23,NZ,8,California
3,Chris Paul,PG,6-1,175,1985-05-06,US,3,Wake Forest
9,Morris Peterson,SG,6-7,218,1977-08-26,US,8,Michigan State
41,James Posey,SG,6-8,215,1977-01-13,US,9,Xavier
16,Peja Stojaković,SF,6-10,229,1977-06-09,HR,10,
30,David West,PF,6-9,250,1980-08-29,US,5,Xavier
32,Julian Wright,SF,6-8,225,1987-05-20,US,1,Kansas
