NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
11,Joe Alexander,SF,6-8,230,1986-12-26,TW,R,West Virginia
30,Malik Allen,PF,6-10,255,1978-06-27,US,7,Villanova
42,Charlie Bell,SG,6-3,200,1979-03-12,US,4,Michigan State
10,Keith Bogans,SG,6-5,215,1980-05-12,US,5,Kentucky
6,Andrew Bogut,C,7-0,260,1984-11-28,AU,3,Utah
44,Austin Croshere,PF,6-9,235,1975-05-01,US,11,Providence
9,Francisco Elson,C,7-0,235,1976-02-28,NL,5,California
50,Dan Gadzuric,C,6-11,240,1978-02-02,NL,6,UCLA
8,Eddie Gill,PG,6-0,190,1978-08-16,US,6,Weber State
24,Richard Jefferson,SF,6-7,233,1980-06-21,US,7,Arizona
19,Damon Jones,PG,6-3,185,1976-08-25,US,10,Houston
10,Tyronn Lue,PG,6-0,175,1977-05-03,US,10,Nebraska
12,Luc Mbah a Moute,PF,6-8,230,1986-09-09,CM,R,UCLA
22,Michael Redd,SG,6-6,220,1979-08-24,US,8,Ohio State
13,Luke Ridnour,PG,6-2,175,1981-02-13,US,5,Oregon
7,Ramon Sessions,PG,6-3,190,1986-04-11,US,1,Nevada
31,Charlie Villanueva,PF,6-11,232,1984-08-24,US,3,UConn
