NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
21,Alexis Ajinça,PF,7-2,248,1988-05-06,FR,R,
14,D.J. Augustin,PG,5-11,183,1987-11-10,US,R,Texas
19,Raja Bell,SG,6-5,204,1976-09-19,VI,8,"Boston University, Florida International University"
1,Andre Brown,PF,6-9,245,1981-05-12,US,2,DePaul
12,Shannon Brown,SG,6-4,205,1985-11-29,US,2,Michigan State
13,Matt Carroll,SG,6-6,212,1980-08-28,US,5,Notre Dame
32,Boris Diaw,PF,6-8,250,1982-04-16,FR,5,
7,DeSagana Diop,C,7-0,300,1982-01-30,SN,7,
4,Jared Dudley,SF,6-6,237,1985-07-10,US,1,Boston College
20,Raymond Felton,PG,6-1,205,1984-06-26,US,3,UNC
15,Ryan Hollins,C,7-0,240,1984-10-10,US,2,UCLA
5,Juwan Howard,SF,6-9,240,1973-02-07,US,14,Michigan
2,Dontell Jefferson,SG,6-5,195,1983-12-15,US,R,Arkansas
43,Linton Johnson,PF,6-8,205,1980-06-13,US,5,Tulane
27,Dwayne Jones,PF,6-11,250,1983-06-09,US,3,Saint Joseph's
1,Cartier Martin,SF,6-7,220,1984-11-20,US,R,Kansas State
42,Sean May,PF,6-9,266,1984-04-04,US,2,UNC
6,Nazr Mohammed,C,6-10,221,1977-09-05,US,10,Kentucky
35,Adam Morrison,SF,6-8,205,1984-07-19,US,1,Gonzaga
50,Emeka Okafor,C,6-10,252,1982-09-28,US,4,UConn
10,Vladimir Radmanović,SF,6-10,227,1980-11-19,BA,7,
23,Jason Richardson,SG,6-6,220,1981-01-20,US,7,Michigan State
44,Sean Singletary,PG,6-0,185,1985-09-06,US,R,Virginia
3,Gerald Wallace,SF,6-7,215,1982-07-23,US,7,Alabama
