NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
22,Morris Almond,SG,6-6,225,1985-02-02,US,1,Rice University
5,Carlos Boozer,PF,6-9,258,1981-11-20,DE,6,Duke
9,Ronnie Brewer,SF,6-7,220,1985-03-20,US,2,Arkansas
31,Jarron Collins,C,6-11,255,1978-12-02,US,7,Stanford
44,Kyrylo Fesenko,C,7-1,288,1986-12-24,UA,1,
15,Matt Harpring,SG,6-7,231,1976-05-31,US,10,Georgia Tech
47,Andrei Kirilenko,PF,6-9,220,1981-02-18,RU,7,
2,Brevin Knight,PG,5-10,173,1975-11-08,US,11,Stanford
26,Kyle Korver,SF,6-7,212,1981-03-17,US,5,Creighton
41,Kosta Koufos,C,7-0,245,1989-02-24,US,R,Ohio State
34,C.J. Miles,SG,6-6,220,1987-03-18,US,3,
24,Paul Millsap,PF,6-7,257,1985-02-10,US,2,Louisiana Tech
13,Mehmet Okur,C,6-11,249,1979-05-26,TR,6,
17,Ronnie Price,PG,6-2,190,1983-06-21,US,3,"Nicholls State, Utah Valley"
8,Deron Williams,PG,6-3,200,1984-06-26,US,3,Illinois
