Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2009,21.0,WAS,NBA,C,75.0,14.0,1143.0,191.0,387.0,0.494,0.0,0.0,,191.0,387.0,0.494,0.494,107.0,162.0,0.66,120.0,174.0,294.0,23.0,33.0,75.0,61.0,155.0,489.0,,0.0
2010,22.0,WAS,NBA,C,60.0,19.0,968.0,156.0,307.0,0.508,0.0,1.0,0.0,156.0,306.0,0.51,0.508,74.0,116.0,0.638,88.0,155.0,243.0,14.0,16.0,101.0,51.0,122.0,386.0,,0.0
2011,23.0,WAS,NBA,C,79.0,75.0,2193.0,332.0,604.0,0.55,0.0,3.0,0.0,332.0,601.0,0.552,0.55,134.0,230.0,0.583,223.0,411.0,634.0,38.0,41.0,193.0,102.0,232.0,798.0,,1.0
2012,24.0,TOT,NBA,C,61.0,45.0,1535.0,307.0,552.0,0.556,0.0,0.0,,307.0,552.0,0.556,0.556,77.0,167.0,0.461,163.0,314.0,477.0,31.0,35.0,132.0,87.0,166.0,691.0,,0.0
2012,24.0,WAS,NBA,C,41.0,40.0,1124.0,214.0,400.0,0.535,0.0,0.0,,214.0,400.0,0.535,0.535,58.0,116.0,0.5,127.0,235.0,362.0,25.0,25.0,101.0,68.0,118.0,486.0,,0.0
2012,24.0,DEN,NBA,C,20.0,5.0,411.0,93.0,152.0,0.612,0.0,0.0,,93.0,152.0,0.612,0.612,19.0,51.0,0.373,36.0,79.0,115.0,6.0,10.0,31.0,19.0,48.0,205.0,,0.0
2013,25.0,DEN,NBA,C,79.0,0.0,1433.0,303.0,527.0,0.575,1.0,1.0,1.0,302.0,526.0,0.574,0.576,110.0,186.0,0.591,158.0,223.0,381.0,24.0,30.0,157.0,90.0,184.0,717.0,,0.0
2014,26.0,DEN,NBA,C,5.0,5.0,79.0,17.0,38.0,0.447,0.0,0.0,,17.0,38.0,0.447,0.447,1.0,1.0,1.0,10.0,7.0,17.0,2.0,1.0,7.0,8.0,16.0,35.0,,0.0
2015,27.0,TOT,NBA,C,23.0,0.0,256.0,42.0,79.0,0.532,0.0,0.0,,42.0,79.0,0.532,0.532,22.0,33.0,0.667,18.0,43.0,61.0,3.0,2.0,20.0,18.0,30.0,106.0,,0.0
2015,27.0,DEN,NBA,C,17.0,0.0,195.0,34.0,61.0,0.557,0.0,0.0,,34.0,61.0,0.557,0.557,20.0,29.0,0.69,14.0,34.0,48.0,1.0,2.0,19.0,13.0,28.0,88.0,,0.0
2015,27.0,PHI,NBA,C,6.0,0.0,61.0,8.0,18.0,0.444,0.0,0.0,,8.0,18.0,0.444,0.444,2.0,4.0,0.5,4.0,9.0,13.0,2.0,0.0,1.0,5.0,2.0,18.0,,0.0
2016,28.0,DAL,NBA,C,34.0,2.0,370.0,77.0,134.0,0.575,0.0,1.0,0.0,77.0,133.0,0.579,0.575,18.0,36.0,0.5,53.0,80.0,133.0,3.0,5.0,26.0,21.0,49.0,172.0,,0.0
2017,29.0,GSW,NBA,C,77.0,10.0,739.0,208.0,319.0,0.652,0.0,3.0,0.0,208.0,316.0,0.658,0.652,56.0,111.0,0.505,100.0,144.0,244.0,17.0,19.0,67.0,40.0,109.0,472.0,,0.0
2018,30.0,GSW,NBA,C,65.0,17.0,615.0,136.0,219.0,0.621,0.0,6.0,0.0,136.0,213.0,0.638,0.621,38.0,52.0,0.731,59.0,110.0,169.0,33.0,21.0,57.0,27.0,91.0,310.0,,0.0
2019,31.0,LAL,NBA,C,75.0,62.0,1671.0,400.0,641.0,0.624,1.0,12.0,0.083,399.0,629.0,0.634,0.625,96.0,152.0,0.632,195.0,371.0,566.0,52.0,47.0,148.0,108.0,208.0,897.0,,0.0
2020,32.0,LAL,NBA,C,68.0,68.0,1130.0,195.0,306.0,0.637,3.0,6.0,0.5,192.0,300.0,0.64,0.642,53.0,82.0,0.646,125.0,265.0,390.0,37.0,36.0,94.0,55.0,159.0,446.0,,0.0
2021,33.0,CLE,NBA,C,12.0,1.0,207.0,41.0,90.0,0.456,4.0,10.0,0.4,37.0,80.0,0.463,0.478,16.0,26.0,0.615,26.0,54.0,80.0,16.0,7.0,13.0,14.0,33.0,102.0,,0.0
