Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2007,DAL,Dirk Nowitzki,1,1138.0,1290,0.882,MVP
2007,PHO,Steve Nash,2,1013.0,1290,0.785,MVP
2007,LAL,Kobe Bryant,3,521.0,1290,0.404,MVP
2007,SAS,Tim Duncan,4,286.0,1290,0.222,MVP
2007,CLE,LeBron James,5,183.0,1290,0.142,MVP
2007,HOU,Tracy McGrady,6,110.0,1290,0.085,MVP
2007,TOR,Chris Bosh,7,43.0,1290,0.033,MVP
2007,WAS,Gilbert Arenas,8,31.0,1290,0.024,MVP
2007,UTA,Carlos Boozer,9T,7.0,1290,0.005,MVP
2007,MIN,Kevin Garnett,9T,7.0,1290,0.005,MVP
2007,DET,Chauncey Billups,11,4.0,1290,0.003,MVP
2007,MIA,Shaquille O'Neal,12T,3.0,1290,0.002,MVP
2007,MIA,Dwyane Wade,12T,3.0,1290,0.002,MVP
2007,PHO,Amar'e Stoudemire,14,2.0,1290,0.002,MVP
2007,DEN,Carmelo Anthony,15T,1.0,1290,0.001,MVP
2007,GSW,Baron Davis,15T,1.0,1290,0.001,MVP
2007,SAS,Tony Parker,15T,1.0,1290,0.001,MVP
