NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
21,Joel Bolomboy,PF,6-9,235,1994-01-28,UA,R,Weber State
10,Alec Burks,SG,6-6,214,1991-07-20,US,5,Colorado
33,Boris Diaw,PF,6-8,250,1982-04-16,FR,13,
11,Dante Exum,PG,6-5,214,1995-07-13,AU,1,
15,Derrick Favors,PF,6-9,265,1991-07-15,US,6,Georgia Tech
27,Rudy Gobert,C,7-1,258,1992-06-26,FR,3,
20,Gordon Hayward,SF,6-7,225,1990-03-23,US,6,Butler
3,George Hill,PG,6-3,188,1986-05-04,US,8,IUPUI
5,Rodney Hood,SG,6-8,208,1992-10-20,US,2,"Mississippi State, Duke"
2,Joe Ingles,SF,6-7,220,1987-10-02,AU,2,
6,Joe Johnson,SF,6-7,240,1981-06-29,US,15,Arkansas
41,Trey Lyles,PF,6-9,234,1995-11-05,CA,1,Kentucky
8,Shelvin Mack,PG,6-3,203,1990-04-22,US,5,Butler
25,Raul Neto,PG,6-1,180,1992-05-19,BR,1,
24,Jeff Withey,C,7-0,231,1990-03-07,US,3,Kansas
