NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
5,Nicolas Batum,SG,6-9,230,1988-12-14,FR,8,
21,Marco Belinelli,SG,6-5,220,1986-03-25,IT,9,
12,Treveon Graham,SG,6-5,219,1993-10-28,US,R,VCU
9,Aaron Harrison,SG,6-6,210,1994-10-28,US,1,Kentucky
0,Spencer Hawes,PF,7-1,245,1988-04-28,US,9,Washington
55,Roy Hibbert,C,7-2,270,1986-12-11,US,8,Georgetown
44,Frank Kaminsky,C,7-0,240,1993-04-04,US,1,Wisconsin
14,Michael Kidd-Gilchrist,SF,6-6,232,1993-09-26,US,4,Kentucky
3,Jeremy Lamb,SG,6-5,180,1992-05-30,US,4,UConn
8,Johnny O'Bryant,PF,6-9,257,1993-06-01,US,2,LSU
18,Miles Plumlee,C,6-11,249,1988-09-01,US,4,Duke
22,Brian Roberts,PG,6-1,173,1985-12-03,US,4,Dayton
7,Ramon Sessions,PG,6-3,190,1986-04-11,US,9,Nevada
10,Mike Tobey,C,7-0,260,1994-10-10,US,R,Virginia
15,Kemba Walker,PG,6-0,184,1990-05-08,US,5,UConn
0,Briante Weber,PG,6-2,165,1992-12-29,US,1,VCU
2,Marvin Williams,PF,6-8,237,1986-06-19,US,11,UNC
35,Christian Wood,PF,6-10,214,1995-09-27,US,1,UNLV
40,Cody Zeller,C,7-0,240,1992-10-05,US,3,Indiana
