SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2017,17,MIL,34,Giannis Antetokounmpo,SF,6-11,242,1994-12-06,GR,3,
2017,17,MIL,9,Michael Beasley,PF,6-9,235,1989-01-09,US,8,Kansas State
2017,17,MIL,13,Malcolm Brogdon,SG,6-5,229,1992-12-11,US,R,Virginia
2017,17,MIL,8,Matthew Dellavedova,PG,6-3,200,1990-09-08,AU,3,Saint Mary's
2017,17,MIL,0,Spencer Hawes,PF,7-1,245,1988-04-28,US,9,Washington
2017,17,MIL,31,John Henson,C,6-9,219,1990-12-28,US,4,UNC
2017,17,MIL,6,Terrence Jones,PF,6-9,252,1992-01-09,US,4,Kentucky
2017,17,MIL,7,Thon Maker,C,7-0,221,1997-02-25,SS,R,
2017,17,MIL,22,Khris Middleton,SF,6-7,222,1991-08-12,US,4,Texas A&M
2017,17,MIL,15,Greg Monroe,C,6-11,265,1990-06-04,US,6,Georgetown
2017,17,MIL,6,Steve Novak,PF,6-10,225,1983-06-13,US,10,Marquette
2017,17,MIL,12,Jabari Parker,PF,6-8,245,1995-03-15,US,2,Duke
2017,17,MIL,0,Gary Payton,PG,6-3,190,1992-12-01,US,R,Oregon State
2017,17,MIL,18,Miles Plumlee,C,6-11,249,1988-09-01,US,4,Duke
2017,17,MIL,21,Tony Snell,SG,6-6,213,1991-11-10,US,3,New Mexico
2017,17,MIL,35,Mirza Teletovic,PF,6-9,242,1985-09-18,BA,4,
2017,17,MIL,3,Jason Terry,SG,6-2,185,1977-09-15,US,17,Arizona
2017,17,MIL,6,Axel Toupane,SF,6-7,197,1992-07-23,FR,1,
2017,17,MIL,20,Rashad Vaughn,SG,6-6,202,1996-08-16,US,1,UNLV
