SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1996,24,PHO,Wesley Person,24,4,183,9.5,0.49,0.52,0.09,4.6,10.3,7.2,2.5,0.9,0.4,7.9,15.3,0.1,-0.2,-0.1,-0.03,-0.3,-2.1,-2.4,0.0
1996,24,PHO,Charles Barkley,32,4,164,27.5,0.56,0.17,0.67,11.5,27.5,18.8,15.4,1.3,1.7,6.2,26.1,0.7,0.0,0.7,0.2,7.4,0.6,8.0,0.4
1996,24,PHO,Kevin Johnson,29,4,151,20.7,0.54,0.07,0.3,1.4,12.5,6.4,47.3,0.7,0.9,14.6,22.1,0.4,-0.1,0.2,0.07,4.5,-0.8,3.7,0.2
1996,24,PHO,Hot Rod Williams,33,4,115,10.5,0.48,0.0,0.38,10.0,16.4,12.9,1.3,0.0,4.2,13.9,16.6,0.0,-0.1,-0.1,-0.03,-4.2,-1.1,-5.3,-0.1
1996,24,PHO,Danny Manning,29,4,90,13.8,0.48,0.02,0.17,4.6,9.8,7.0,10.3,2.4,0.8,10.4,28.3,0.0,0.0,-0.1,-0.05,-2.4,-0.5,-2.9,0.0
1996,24,PHO,A.C. Green,32,4,87,8.6,0.46,0.18,0.47,7.2,17.3,11.8,3.2,0.6,0.0,8.9,11.4,0.1,-0.1,0.0,-0.01,-2.5,-2.0,-4.5,-0.1
1996,24,PHO,Wayman Tisdale,31,4,67,4.0,0.34,0.0,0.07,4.7,1.9,3.4,4.7,0.8,1.0,3.1,21.0,-0.1,-0.1,-0.2,-0.15,-4.9,-3.9,-8.7,-0.1
1996,24,PHO,Elliot Perry,26,4,51,16.3,0.48,0.0,0.07,0.0,4.9,2.2,36.5,2.1,0.0,0.0,12.5,0.1,0.0,0.1,0.07,1.3,-1.0,0.3,0.0
1996,24,PHO,Chris Carr,21,3,36,28.2,0.74,0.21,0.36,8.7,13.9,11.1,20.9,2.9,1.9,19.8,24.8,0.1,0.0,0.1,0.18,6.2,3.0,9.2,0.1
1996,24,PHO,Mario Bennett,22,2,8,10.1,0.5,0.0,0.0,26.1,15.7,21.4,0.0,0.0,0.0,33.3,33.2,0.0,0.0,0.0,-0.28,-4.0,-9.1,-13.1,0.0
1996,24,PHO,Joe Kleine,34,2,8,-6.6,0.0,0.0,0.0,13.0,0.0,7.1,0.0,6.6,0.0,33.3,16.6,-0.1,0.0,-0.1,-0.37,-13.1,-4.0,-17.1,0.0
