PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Tim Hardaway,29,3,110,12.6,0.575,0.512,0.163,1.1,4.6,2.8,34.3,1.4,0.0,24.6,25.9,,0.0,-0.1,-0.1,-0.042,,2.6,-1.7,1.0,0.1
Alonzo Mourning,25,3,92,13.6,0.5710000000000001,0.0,0.8,3.8,20.4,11.8,9.7,1.2,2.8,25.3,32.1,,-0.1,0.0,-0.1,-0.067,,-2.4,1.1,-1.3,0.0
Rex Chapman,28,3,88,10.1,0.48200000000000004,0.46399999999999997,0.0,0.0,8.5,4.1,11.5,1.8,0.0,3.4,15.4,,0.0,0.0,0.0,0.005,,0.0,1.2,1.3,0.1
Walt Williams,25,3,70,6.5,0.371,0.5,0.111,5.0,16.1,10.4,13.1,0.8,1.2,13.7,14.6,,-0.1,0.0,-0.1,-0.079,,-1.4,-0.3,-1.7,0.0
Chris Gatling,28,3,68,4.1,0.33,0.0,0.545,17.2,25.8,21.4,2.7,1.6,0.0,22.7,24.2,,-0.3,0.0,-0.3,-0.20800000000000002,,-5.1,-4.1,-9.2,-0.1
Tony Smith,27,3,61,16.0,0.579,0.526,0.0,5.8,2.1,4.0,27.1,3.5,0.0,13.6,16.8,,0.1,0.0,0.1,0.08,,4.2,3.2,7.4,0.1
Sasha Danilović,25,3,60,12.4,0.647,0.556,0.16699999999999998,2.0,0.0,1.0,13.8,0.9,0.0,13.4,17.4,,0.1,-0.1,0.1,0.055,,3.1,0.4,3.4,0.1
Kurt Thomas,23,3,60,7.4,0.51,0.0,0.4,7.8,25.0,16.1,8.8,1.8,1.4,29.8,13.0,,0.0,0.0,0.0,-0.021,,-4.4,2.5,-2.0,0.0
Keith Askins,28,3,48,6.2,0.528,0.545,0.273,7.3,13.0,10.1,7.6,1.1,0.0,24.5,15.9,,0.0,0.0,0.0,-0.043,,-3.6,-0.2,-3.8,0.0
Tyrone Corbin,33,2,34,8.9,0.37,0.0,0.8,13.8,11.0,12.5,4.9,3.1,0.0,12.9,10.7,,0.0,0.0,0.0,-0.006,,-1.0,1.5,0.6,0.0
Danny Schayes,36,2,17,13.9,0.7170000000000001,0.0,0.5,13.8,14.7,14.2,0.0,0.0,0.0,29.1,18.9,,0.0,0.0,0.0,-0.022000000000000002,,2.7,0.5,3.2,0.0
Stacey King,29,1,12,-1.4,0.129,0.0,0.667,0.0,31.3,15.1,13.2,0.0,0.0,0.0,15.1,,-0.1,0.0,-0.1,-0.209,,-6.4,-0.2,-6.6,0.0
