SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1988,8,DEN,54,28,.659,—,116.7,112.7,3.32
1988,7,DAL,53,29,.646,1.0,109.3,104.9,3.59
1988,29,UTA,47,35,.573,7.0,108.5,104.8,2.96
1988,11,HOU,46,36,.561,8.0,109.0,107.6,0.82
1988,27,SAS,31,51,.378,23.0,113.6,118.5,-5.02
1988,26,SAC,24,58,.293,30.0,108.0,113.7,-5.84
1988,14,LAL,62,20,.756,—,112.8,107.0,4.81
1988,25,POR,53,29,.646,9.0,116.1,111.5,3.59
1988,21,SEA,44,38,.537,18.0,111.4,109.3,1.29
1988,24,PHO,28,54,.341,34.0,108.5,113.0,-4.80
1988,10,GSW,20,62,.244,42.0,107.0,115.3,-8.38
1988,13,LAC,17,65,.207,45.0,98.8,109.1,-10.24
