Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1998,29,UTA,Utah Jazz,62,20,.756,—,101.0,94.4,5.73
1998,27,SAS,San Antonio Spurs,56,26,.683,6.0,92.5,88.5,3.30
1998,18,MIN,Minnesota Timberwolves,45,37,.549,17.0,101.1,100.4,0.17
1998,11,HOU,Houston Rockets,41,41,.500,21.0,98.8,99.5,-1.23
1998,7,DAL,Dallas Mavericks,20,62,.244,42.0,91.4,97.5,-6.33
1998,15,VAN,Vancouver Grizzlies,19,63,.232,43.0,96.6,103.9,-7.47
1998,8,DEN,Denver Nuggets,11,71,.134,51.0,89.0,100.8,-11.74
1998,21,SEA,Seattle Supersonics,61,21,.744,—,100.6,93.4,6.33
1998,14,LAL,Los Angeles Lakers,61,21,.744,—,105.5,97.8,6.88
1998,24,PHO,Phoenix Suns,56,26,.683,5.0,99.6,94.4,4.44
1998,25,POR,Portland Trail Blazers,46,36,.561,15.0,94.3,92.9,0.83
1998,26,SAC,Sacramento Kings,27,55,.329,34.0,93.1,98.7,-5.83
1998,10,GSW,Golden State Warriors,19,63,.232,42.0,88.3,97.4,-9.20
1998,13,LAC,Los Angeles Clippers,17,65,.207,44.0,95.9,103.3,-7.53
