SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2012,21,OKC,47,19,.712,—,103.1,96.9,6.44
2012,8,DEN,38,28,.576,9.0,104.1,101.2,3.16
2012,29,UTA,36,30,.545,11.0,99.7,99.0,0.92
2012,25,POR,28,38,.424,19.0,97.2,97.8,-0.22
2012,18,MIN,26,40,.394,21.0,97.9,100.1,-1.83
2012,14,LAL,41,25,.621,—,97.3,95.9,1.96
2012,13,LAC,40,26,.606,1.0,97.5,95.0,2.82
2012,24,PHO,33,33,.500,8.0,98.4,98.6,0.29
2012,10,GSW,23,43,.348,18.0,97.8,101.2,-2.79
2012,26,SAC,22,44,.333,19.0,98.8,104.4,-4.95
2012,27,SAS,50,16,.758,—,103.7,96.5,7.28
2012,15,MEM,41,25,.621,9.0,95.0,93.0,2.43
2012,7,DAL,36,30,.545,14.0,95.8,94.8,1.78
2012,11,HOU,34,32,.515,16.0,98.1,97.9,0.57
2012,19,NOH,21,45,.318,29.0,89.6,93.4,-3.11
